date,district,source,value
2018-05-19 01:44:23,Lower Owens River Project,LORP at Mazourka Canyon Road,52.0
2018-05-19 01:44:23,Lower Owens River Project,LORP at Reinhackle Springs,55.0
2018-05-19 01:44:23,Lower Owens River Project,LORP Above Pumpstation,43.0
2018-05-19 01:44:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,35.0
2018-05-19 01:44:23,Southern Owens Valley,Tinemaha Reservoir Outflow,303.3
2018-05-19 01:44:23,Southern Owens Valley,Indep. Ck. At Junction Flow,22.3
2018-05-19 01:44:23,Southern Owens Valley,LAA at Alabama Flow,361.0
2018-05-19 01:44:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,5.0
2018-05-19 01:44:23,Southern Owens Valley,LAA at Cottonwood Flow,294.0
2018-05-19 01:44:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,148.8
2018-05-19 01:44:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,193.1
2018-05-19 01:44:23,Southern Owens Valley,Reinhackel Flow,1.9
2018-05-19 01:44:23,Southern Owens Valley,Lubkin Spillgate Outflow,56.4
2018-05-19 01:44:23,Southern Owens Valley,Cartago Spillgate Outflow,94.2
2018-05-19 01:44:23,Long Valley,McGee Ck. Lower Sta. Flow,48.7
2018-05-19 01:44:23,Long Valley,Long Valley Current Outflow,190.1
2018-05-19 01:44:24,Southern District,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 01:44:24,Southern District,Fairmont Reservoir Elevation,3021.5
2018-05-19 01:44:24,Southern District,LAA #1 Flow at Fairmont Reservoir,145.5
2018-05-19 01:44:24,Southern District,LAA #2 Flow at Fairmont Res.,203.0
2018-05-19 01:44:24,Southern District,Bouquet Reservoir Elevation,2987.1
2018-05-19 01:44:24,Southern District,Bouquet Reservoir Inflow,10.6
2018-05-19 01:44:24,Southern District,Bouquet Reservoir Outflow,0.7
2018-05-19 01:44:24,Southern District,LAA #1 at Soledad Flow,256.3
2018-05-19 01:44:24,Southern District,LAA #2 at Soledad Flow,91.1
2018-05-19 01:44:24,Northern Owens Valley,Pleasant Valley Elevation,4387.7
2018-05-19 01:44:24,Southern Owens Valley,LAA at Alabama Level,7.1
2018-05-19 01:44:24,Southern Owens Valley,LAA at Alabama Water Temp,66.0
2018-05-19 01:44:24,Southern Owens Valley,LAA at Cottonwood Level,7.0
2018-05-19 01:44:24,Southern Owens Valley,LAA at Cotton. Water Temp,66.8
2018-05-19 01:44:24,Southern Owens Valley,N. Haiwee Elevation,3756.7
2018-05-19 01:44:24,Southern Owens Valley,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 01:44:24,Mono Basin,Lee Vining Intake Above Flow,203.9
2018-05-19 01:44:24,Mono Basin,Lee Vining Intake Below Flow,56.6
2018-05-19 01:44:24,Mono Basin,Mono Lk. Elevation,6381.6
2018-05-19 01:44:24,Mono Basin,Walker Ck. Above Conduit Flow,16.0
2018-05-19 01:44:24,Mono Basin,L.V. Conduit Below Intake Flow,140.6
2018-05-19 01:44:24,Mono Basin,Walker Ck. Under Conduit Flow,16.0
2018-05-19 01:44:24,Mono Basin,Parker Ck. Under Conduit Flow,23.0
2018-05-19 01:44:24,Mono Basin,Parker Ck. Above Conduit Flow,23.0
2018-05-19 01:44:24,Mono Basin,Grant Lk. Spill Flow,0.0
2018-05-19 01:44:24,Mono Basin,Mono Gate 1 Return Ditch Flow,62.1
2018-05-19 01:44:24,Mono Basin,Grant Lk. Elevation,7112.7
2018-05-19 01:44:24,Mono Basin,Grant Lk. Outflow,91.1
2018-05-19 01:44:24,Mono Basin,Rush Ck. at Damsite Flow,195.0
2018-05-19 01:44:24,Mono Basin,Flow to West Portal,22.5
2018-05-19 01:44:24,Long Valley,East Portal Flow,37.0
2018-05-19 01:44:24,Long Valley,OR Below EP Flow,105.0
2018-05-19 01:44:24,Long Valley,Hot Ck.at Hwy. Flow,42.0
2018-05-19 01:44:24,Long Valley,Long Valley Elevation,6774.8
2018-05-19 01:44:24,Long Valley,Rock Ck. Div. Flow,10.1
2018-05-19 01:44:24,Long Valley,Upper Gorge at TRS,13.7
2018-05-19 02:44:23,Southern District,Haiwee LAA #2 Current Flow,193.1
2018-05-19 02:44:23,Southern District,Haiwee LAA #1 Current Flow,148.8
2018-05-19 02:44:23,Northern Owens Valley,Big Pine Ck. USGS Flow,46.7
2018-05-19 02:44:23,Northern Owens Valley,Tinemaha Reservoir Outflow,302.3
2018-05-19 02:44:23,Lower Owens River Project,LORP Intake Flow,50.0
2018-05-19 02:44:23,Lower Owens River Project,LORP at Mazourka Canyon Road,56.0
2018-05-19 02:44:23,Lower Owens River Project,LORP at Reinhackle Springs,52.0
2018-05-19 02:44:23,Lower Owens River Project,LORP Above Pumpstation,44.0
2018-05-19 02:44:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,36.0
2018-05-19 02:44:23,Southern Owens Valley,Tinemaha Reservoir Outflow,302.3
2018-05-19 02:44:23,Southern Owens Valley,Indep. Ck. At Junction Flow,22.3
2018-05-19 02:44:23,Southern Owens Valley,LAA at Alabama Flow,360.0
2018-05-19 02:44:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,5.0
2018-05-19 02:44:23,Southern Owens Valley,LAA at Cottonwood Flow,297.0
2018-05-19 02:44:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,148.8
2018-05-19 02:44:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,193.1
2018-05-19 02:44:23,Southern Owens Valley,Reinhackel Flow,1.9
2018-05-19 02:44:23,Southern Owens Valley,Lubkin Spillgate Outflow,56.0
2018-05-19 02:44:23,Southern Owens Valley,Cartago Spillgate Outflow,111.3
2018-05-19 02:44:24,Southern District,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 02:44:24,Southern District,Fairmont Reservoir Elevation,3021.5
2018-05-19 02:44:24,Southern District,LAA #1 Flow at Fairmont Reservoir,145.9
2018-05-19 02:44:24,Southern District,LAA #2 Flow at Fairmont Res.,203.1
2018-05-19 02:44:24,Southern District,Bouquet Reservoir Elevation,2987.1
2018-05-19 02:44:24,Southern District,Bouquet Reservoir Inflow,12.2
2018-05-19 02:44:24,Southern District,Bouquet Reservoir Outflow,0.5
2018-05-19 02:44:24,Southern District,LAA #1 at Soledad Flow,256.3
2018-05-19 02:44:24,Southern District,LAA #2 at Soledad Flow,91.1
2018-05-19 02:44:24,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,101.7
2018-05-19 02:44:24,Northern Owens Valley,Pleasant Valley Elevation,4387.7
2018-05-19 02:44:24,Northern Owens Valley,Pleasant Valley Outflow,275.9
2018-05-19 02:44:24,Northern Owens Valley,Baker Ck. At LA Station Flow,6.3
2018-05-19 02:44:24,Northern Owens Valley,O.R. Below Big Pine,398.9
2018-05-19 02:44:24,Northern Owens Valley,Fish Springs At RR Flow,37.9
2018-05-19 02:44:24,Northern Owens Valley,Bishop Creek Through Plant 6,0.6
2018-05-19 02:44:24,Northern Owens Valley,Bishop Creek Around Plant 6,137.1
2018-05-19 02:44:24,Southern Owens Valley,LAA at Alabama Level,7.1
2018-05-19 02:44:24,Southern Owens Valley,LAA at Alabama Water Temp,65.3
2018-05-19 02:44:24,Southern Owens Valley,LAA at Cottonwood Level,7.0
2018-05-19 02:44:24,Southern Owens Valley,LAA at Cotton. Water Temp,67.0
2018-05-19 02:44:24,Southern Owens Valley,N. Haiwee Elevation,3756.7
2018-05-19 02:44:24,Southern Owens Valley,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 02:44:24,Mono Basin,Lee Vining Intake Above Flow,203.9
2018-05-19 02:44:24,Mono Basin,Lee Vining Intake Below Flow,56.6
2018-05-19 02:44:24,Mono Basin,Mono Lk. Elevation,6381.6
2018-05-19 02:44:24,Mono Basin,Walker Ck. Above Conduit Flow,16.0
2018-05-19 02:44:24,Mono Basin,L.V. Conduit Below Intake Flow,140.6
2018-05-19 02:44:24,Mono Basin,Walker Ck. Under Conduit Flow,16.0
2018-05-19 02:44:24,Mono Basin,Parker Ck. Under Conduit Flow,23.0
2018-05-19 02:44:24,Mono Basin,Parker Ck. Above Conduit Flow,23.0
2018-05-19 02:44:24,Mono Basin,Grant Lk. Spill Flow,0.0
2018-05-19 02:44:24,Mono Basin,Mono Gate 1 Return Ditch Flow,62.4
2018-05-19 02:44:24,Mono Basin,Grant Lk. Elevation,7112.7
2018-05-19 02:44:24,Mono Basin,Grant Lk. Outflow,92.3
2018-05-19 02:44:24,Mono Basin,Rush Ck. at Damsite Flow,195.0
2018-05-19 02:44:24,Mono Basin,Flow to West Portal,22.5
2018-05-19 02:44:24,Long Valley,East Portal Flow,37.0
2018-05-19 02:44:24,Long Valley,OR Below EP Flow,105.0
2018-05-19 02:44:24,Long Valley,Hot Ck.at Hwy. Flow,42.0
2018-05-19 02:44:24,Long Valley,McGee Ck. Lower Sta. Flow,48.7
2018-05-19 02:44:24,Long Valley,Long Valley Elevation,6774.8
2018-05-19 02:44:24,Long Valley,Long Valley Current Outflow,189.7
2018-05-19 02:44:24,Long Valley,Rock Ck. Div. Flow,10.1
2018-05-19 02:44:24,Long Valley,Upper Gorge at TRS,13.8
2018-05-19 03:44:23,Southern District,Haiwee LAA #1 Current Flow,148.8
2018-05-19 03:44:23,Northern Owens Valley,Tinemaha Reservoir Outflow,302.3
2018-05-19 03:44:23,Lower Owens River Project,LORP Intake Flow,50.0
2018-05-19 03:44:23,Southern Owens Valley,Tinemaha Reservoir Outflow,302.3
2018-05-19 03:44:23,Southern Owens Valley,Indep. Ck. At Junction Flow,22.3
2018-05-19 03:44:23,Southern Owens Valley,LAA at Alabama Flow,360.0
2018-05-19 03:44:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,5.0
2018-05-19 03:44:23,Southern Owens Valley,LAA at Cottonwood Flow,297.0
2018-05-19 03:44:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,148.8
2018-05-19 03:44:23,Southern Owens Valley,Reinhackel Flow,1.9
2018-05-19 03:44:24,Southern District,Haiwee LAA #2 Current Flow,193.1
2018-05-19 03:44:24,Southern District,LAA #1 Flow at Fairmont Reservoir,145.9
2018-05-19 03:44:24,Southern District,LAA #2 Flow at Fairmont Res.,203.1
2018-05-19 03:44:24,Southern District,Bouquet Reservoir Inflow,11.1
2018-05-19 03:44:24,Southern District,Bouquet Reservoir Outflow,0.5
2018-05-19 03:44:24,Southern District,LAA #1 at Soledad Flow,256.3
2018-05-19 03:44:24,Southern District,LAA #2 at Soledad Flow,90.8
2018-05-19 03:44:24,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,104.3
2018-05-19 03:44:24,Northern Owens Valley,Pleasant Valley Outflow,269.2
2018-05-19 03:44:24,Northern Owens Valley,Baker Ck. At LA Station Flow,6.3
2018-05-19 03:44:24,Northern Owens Valley,Big Pine Ck. USGS Flow,46.7
2018-05-19 03:44:24,Northern Owens Valley,O.R. Below Big Pine,399.1
2018-05-19 03:44:24,Northern Owens Valley,Fish Springs At RR Flow,38.4
2018-05-19 03:44:24,Northern Owens Valley,Bishop Creek Through Plant 6,0.5
2018-05-19 03:44:24,Northern Owens Valley,Bishop Creek Around Plant 6,137.8
2018-05-19 03:44:24,Lower Owens River Project,LORP at Mazourka Canyon Road,58.0
2018-05-19 03:44:24,Lower Owens River Project,LORP at Reinhackle Springs,52.0
2018-05-19 03:44:24,Lower Owens River Project,LORP Above Pumpstation,44.0
2018-05-19 03:44:24,Lower Owens River Project,LORP At Pump Station Discharge Flow,36.0
2018-05-19 03:44:24,Southern Owens Valley,LAA at Alabama Water Temp,65.3
2018-05-19 03:44:24,Southern Owens Valley,LAA at Cotton. Water Temp,67.0
2018-05-19 03:44:24,Southern Owens Valley,Haiwee LAA #2 Current Flow,193.1
2018-05-19 03:44:24,Southern Owens Valley,Lubkin Spillgate Outflow,63.5
2018-05-19 03:44:24,Southern Owens Valley,Cartago Spillgate Outflow,109.3
2018-05-19 03:44:24,Mono Basin,Lee Vining Intake Above Flow,215.4
2018-05-19 03:44:24,Mono Basin,Lee Vining Intake Below Flow,72.7
2018-05-19 03:44:24,Mono Basin,Walker Ck. Above Conduit Flow,16.0
2018-05-19 03:44:24,Mono Basin,L.V. Conduit Below Intake Flow,137.5
2018-05-19 03:44:24,Mono Basin,Walker Ck. Under Conduit Flow,16.0
2018-05-19 03:44:24,Mono Basin,Parker Ck. Under Conduit Flow,23.0
2018-05-19 03:44:24,Mono Basin,Parker Ck. Above Conduit Flow,23.0
2018-05-19 03:44:24,Mono Basin,Grant Lk. Spill Flow,0.0
2018-05-19 03:44:24,Mono Basin,Mono Gate 1 Return Ditch Flow,62.7
2018-05-19 03:44:24,Mono Basin,Grant Lk. Outflow,91.9
2018-05-19 03:44:24,Mono Basin,Rush Ck. at Damsite Flow,195.0
2018-05-19 03:44:24,Mono Basin,Flow to West Portal,22.5
2018-05-19 03:44:24,Long Valley,East Portal Flow,37.0
2018-05-19 03:44:24,Long Valley,OR Below EP Flow,105.0
2018-05-19 03:44:24,Long Valley,Hot Ck.at Hwy. Flow,42.0
2018-05-19 03:44:24,Long Valley,McGee Ck. Lower Sta. Flow,48.7
2018-05-19 03:44:24,Long Valley,Long Valley Current Outflow,189.2
2018-05-19 03:44:24,Long Valley,Rock Ck. Div. Flow,10.2
2018-05-19 03:44:24,Long Valley,Upper Gorge at TRS,13.4
2018-05-19 03:44:25,Southern District,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 03:44:25,Southern District,Fairmont Reservoir Elevation,3021.5
2018-05-19 03:44:25,Southern District,Bouquet Reservoir Elevation,2987.1
2018-05-19 03:44:25,Northern Owens Valley,Pleasant Valley Elevation,4387.7
2018-05-19 03:44:25,Southern Owens Valley,LAA at Alabama Level,7.1
2018-05-19 03:44:25,Southern Owens Valley,LAA at Cottonwood Level,7.0
2018-05-19 03:44:25,Southern Owens Valley,N. Haiwee Elevation,3756.7
2018-05-19 03:44:25,Southern Owens Valley,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 03:44:25,Mono Basin,Mono Lk. Elevation,6381.6
2018-05-19 03:44:25,Mono Basin,Grant Lk. Elevation,7112.7
2018-05-19 03:44:25,Long Valley,Long Valley Elevation,6774.8
2018-05-19 04:44:23,Southern District,Haiwee LAA #2 Current Flow,193.1
2018-05-19 04:44:23,Southern District,Haiwee LAA #1 Current Flow,148.8
2018-05-19 04:44:23,Northern Owens Valley,Tinemaha Reservoir Outflow,302.3
2018-05-19 04:44:23,Lower Owens River Project,LORP Intake Flow,50.0
2018-05-19 04:44:23,Lower Owens River Project,LORP at Mazourka Canyon Road,57.0
2018-05-19 04:44:23,Lower Owens River Project,LORP at Reinhackle Springs,54.0
2018-05-19 04:44:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,36.0
2018-05-19 04:44:23,Southern Owens Valley,Tinemaha Reservoir Outflow,302.3
2018-05-19 04:44:23,Southern Owens Valley,Indep. Ck. At Junction Flow,23.1
2018-05-19 04:44:23,Southern Owens Valley,LAA at Alabama Flow,360.0
2018-05-19 04:44:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,6.0
2018-05-19 04:44:23,Southern Owens Valley,LAA at Cottonwood Flow,300.0
2018-05-19 04:44:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,148.8
2018-05-19 04:44:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,193.1
2018-05-19 04:44:23,Southern Owens Valley,Reinhackel Flow,1.9
2018-05-19 04:44:23,Southern Owens Valley,Lubkin Spillgate Outflow,55.7
2018-05-19 04:44:23,Southern Owens Valley,Cartago Spillgate Outflow,106.7
2018-05-19 04:44:24,Southern District,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 04:44:24,Southern District,Fairmont Reservoir Elevation,3021.5
2018-05-19 04:44:24,Southern District,LAA #1 Flow at Fairmont Reservoir,145.9
2018-05-19 04:44:24,Southern District,LAA #2 Flow at Fairmont Res.,203.1
2018-05-19 04:44:24,Southern District,Bouquet Reservoir Elevation,2987.1
2018-05-19 04:44:24,Southern District,Bouquet Reservoir Inflow,11.1
2018-05-19 04:44:24,Southern District,Bouquet Reservoir Outflow,0.5
2018-05-19 04:44:24,Southern District,LAA #1 at Soledad Flow,256.3
2018-05-19 04:44:24,Southern District,LAA #2 at Soledad Flow,90.8
2018-05-19 04:44:24,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,106.6
2018-05-19 04:44:24,Northern Owens Valley,Pleasant Valley Elevation,4387.7
2018-05-19 04:44:24,Northern Owens Valley,Pleasant Valley Outflow,285.2
2018-05-19 04:44:24,Northern Owens Valley,Baker Ck. At LA Station Flow,6.3
2018-05-19 04:44:24,Northern Owens Valley,Big Pine Ck. USGS Flow,46.7
2018-05-19 04:44:24,Northern Owens Valley,O.R. Below Big Pine,401.1
2018-05-19 04:44:24,Northern Owens Valley,Fish Springs At RR Flow,38.4
2018-05-19 04:44:24,Northern Owens Valley,Bishop Creek Through Plant 6,0.5
2018-05-19 04:44:24,Northern Owens Valley,Bishop Creek Around Plant 6,138.3
2018-05-19 04:44:24,Lower Owens River Project,LORP Above Pumpstation,44.0
2018-05-19 04:44:24,Southern Owens Valley,LAA at Alabama Level,7.1
2018-05-19 04:44:24,Southern Owens Valley,LAA at Alabama Water Temp,65.3
2018-05-19 04:44:24,Southern Owens Valley,LAA at Cottonwood Level,7.1
2018-05-19 04:44:24,Southern Owens Valley,LAA at Cotton. Water Temp,67.1
2018-05-19 04:44:24,Southern Owens Valley,N. Haiwee Elevation,3756.7
2018-05-19 04:44:24,Southern Owens Valley,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 04:44:24,Mono Basin,Lee Vining Intake Above Flow,217.5
2018-05-19 04:44:24,Mono Basin,Lee Vining Intake Below Flow,76.3
2018-05-19 04:44:24,Mono Basin,Mono Lk. Elevation,6381.6
2018-05-19 04:44:24,Mono Basin,Walker Ck. Above Conduit Flow,16.0
2018-05-19 04:44:24,Mono Basin,L.V. Conduit Below Intake Flow,137.1
2018-05-19 04:44:24,Mono Basin,Walker Ck. Under Conduit Flow,16.0
2018-05-19 04:44:24,Mono Basin,Parker Ck. Under Conduit Flow,23.0
2018-05-19 04:44:24,Mono Basin,Parker Ck. Above Conduit Flow,23.0
2018-05-19 04:44:24,Mono Basin,Grant Lk. Spill Flow,0.0
2018-05-19 04:44:24,Mono Basin,Mono Gate 1 Return Ditch Flow,62.7
2018-05-19 04:44:24,Mono Basin,Grant Lk. Elevation,7112.8
2018-05-19 04:44:24,Mono Basin,Grant Lk. Outflow,92.4
2018-05-19 04:44:24,Mono Basin,Rush Ck. at Damsite Flow,195.0
2018-05-19 04:44:24,Mono Basin,Flow to West Portal,22.5
2018-05-19 04:44:24,Long Valley,East Portal Flow,37.0
2018-05-19 04:44:24,Long Valley,OR Below EP Flow,105.0
2018-05-19 04:44:24,Long Valley,Hot Ck.at Hwy. Flow,42.0
2018-05-19 04:44:24,Long Valley,McGee Ck. Lower Sta. Flow,48.7
2018-05-19 04:44:24,Long Valley,Long Valley Elevation,6774.8
2018-05-19 04:44:24,Long Valley,Long Valley Current Outflow,189.1
2018-05-19 04:44:24,Long Valley,Rock Ck. Div. Flow,10.2
2018-05-19 04:44:24,Long Valley,Upper Gorge at TRS,13.3
2018-05-19 05:44:23,Southern District,Haiwee LAA #2 Current Flow,193.1
2018-05-19 05:44:23,Southern District,Haiwee LAA #1 Current Flow,148.8
2018-05-19 05:44:23,Northern Owens Valley,Tinemaha Reservoir Outflow,302.3
2018-05-19 05:44:23,Lower Owens River Project,LORP Intake Flow,50.0
2018-05-19 05:44:23,Lower Owens River Project,LORP at Mazourka Canyon Road,54.0
2018-05-19 05:44:23,Lower Owens River Project,LORP at Reinhackle Springs,54.0
2018-05-19 05:44:23,Lower Owens River Project,LORP Above Pumpstation,44.0
2018-05-19 05:44:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,36.0
2018-05-19 05:44:23,Southern Owens Valley,Tinemaha Reservoir Outflow,302.3
2018-05-19 05:44:23,Southern Owens Valley,Indep. Ck. At Junction Flow,23.1
2018-05-19 05:44:23,Southern Owens Valley,LAA at Alabama Flow,360.0
2018-05-19 05:44:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,6.0
2018-05-19 05:44:23,Southern Owens Valley,LAA at Cottonwood Flow,299.0
2018-05-19 05:44:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,148.8
2018-05-19 05:44:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,193.1
2018-05-19 05:44:23,Southern Owens Valley,Reinhackel Flow,1.9
2018-05-19 05:44:23,Southern Owens Valley,Lubkin Spillgate Outflow,54.8
2018-05-19 05:44:23,Southern Owens Valley,Cartago Spillgate Outflow,101.2
2018-05-19 05:44:24,Southern District,S. Haiwee Reservoir Elevation,3735.0
2018-05-19 05:44:24,Southern District,Fairmont Reservoir Elevation,3021.5
2018-05-19 05:44:24,Southern District,LAA #1 Flow at Fairmont Reservoir,145.9
2018-05-19 05:44:24,Southern District,LAA #2 Flow at Fairmont Res.,203.1
2018-05-19 05:44:24,Southern District,Bouquet Reservoir Elevation,2987.1
2018-05-19 05:44:24,Southern District,Bouquet Reservoir Inflow,11.1
2018-05-19 05:44:24,Southern District,Bouquet Reservoir Outflow,0.5
2018-05-19 05:44:24,Southern District,LAA #1 at Soledad Flow,255.9
2018-05-19 05:44:24,Southern District,LAA #2 at Soledad Flow,90.8
2018-05-19 05:44:24,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,107.7
2018-05-19 05:44:24,Northern Owens Valley,Pleasant Valley Elevation,4387.7
2018-05-19 05:44:24,Northern Owens Valley,Pleasant Valley Outflow,278.6
