date,district,source,value
2021-04-12 02:42:12,Northern Owens Valley,Fish Springs At RR Flow,19.5
2021-04-12 02:42:12,Northern Owens Valley,Tinemaha Reservoir Outflow,148.0
2021-04-12 02:42:12,Northern Owens Valley,Bishop Creek Through Plant 6,52.5
2021-04-12 02:42:12,Northern Owens Valley,Bishop Creek Around Plant 6,2.1
2021-04-12 02:42:12,Southern Owens Valley,Tinemaha Reservoir Outflow,148.0
2021-04-12 02:42:12,Southern Owens Valley,Indep. Ck. At Junction Flow,3.0
2021-04-12 02:42:12,Southern Owens Valley,LAA at Alabama Flow,132.0
2021-04-12 02:42:12,Southern Owens Valley,Cottonwood Ck. At LAA Flow,5.0
2021-04-12 02:42:12,Southern Owens Valley,LAA at Cottonwood Flow,120.0
2021-04-12 02:42:12,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-04-12 02:42:12,Southern Owens Valley,Haiwee LAA #2 Current Flow,40.8
2021-04-12 02:42:12,Southern Owens Valley,Reinhackel Flow,1.5
2021-04-12 02:42:12,Southern Owens Valley,Lubkin Spillgate Outflow,26.8
2021-04-12 02:42:12,Southern Owens Valley,Cartago Spillgate Outflow,46.6
2021-04-12 02:42:13,Long Valley,Long Valley Elevation,6772.1
2021-04-12 02:42:13,Southern District,S. Haiwee Reservoir Elevation,3732.5
2021-04-12 02:42:13,Southern District,Fairmont Reservoir Elevation,3025.7
2021-04-12 02:42:13,Southern District,Bouquet Reservoir Elevation,2985.5
2021-04-12 02:42:13,Mono Basin,Mono Lk. Elevation,6380.9
2021-04-12 02:42:13,Mono Basin,Grant Lk. Elevation,7104.6
2021-04-12 02:42:13,Northern Owens Valley,Pleasant Valley Elevation,4374.7
2021-04-12 02:42:13,Southern Owens Valley,LAA at Alabama Level,4.8
2021-04-12 02:42:13,Southern Owens Valley,LAA at Alabama Water Temp,59.7
2021-04-12 02:42:13,Southern Owens Valley,LAA at Cottonwood Level,6.1
2021-04-12 02:42:13,Southern Owens Valley,LAA at Cotton. Water Temp,60.6
2021-04-12 02:42:13,Southern Owens Valley,N. Haiwee Elevation,3756.7
2021-04-12 02:42:13,Southern Owens Valley,S. Haiwee Reservoir Elevation,3732.5
2021-04-12 03:42:07,Long Valley,East Portal Flow,12.0
2021-04-12 03:42:07,Long Valley,OR Below EP Flow,58.0
2021-04-12 03:42:07,Long Valley,Hot Ck.at Hwy. Flow,12.0
2021-04-12 03:42:07,Long Valley,McGee Ck. Lower Sta. Flow,13.3
2021-04-12 03:42:07,Long Valley,Long Valley Current Outflow,0.0
2021-04-12 03:42:07,Long Valley,Rock Ck. Div. Flow,0.0
2021-04-12 03:42:07,Long Valley,Upper Gorge Total Release,65.0
2021-04-12 03:42:07,Long Valley,Release at Middle Gorge,0.0
2021-04-12 03:42:07,Lower Owens River Project,LORP Intake Flow,43.0
2021-04-12 03:42:07,Lower Owens River Project,LORP at Mazourka Canyon Road,44.0
2021-04-12 03:42:07,Lower Owens River Project,LORP at Reinhackle Springs,38.0
2021-04-12 03:42:07,Lower Owens River Project,LORP Above Pumpstation,47.0
2021-04-12 03:42:07,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2021-04-12 03:42:07,Southern District,Haiwee LAA #2 Current Flow,40.8
2021-04-12 03:42:07,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-04-12 03:42:07,Southern District,LAA #1 Flow at Fairmont Reservoir,0.8
2021-04-12 03:42:07,Southern District,LAA #2 Flow at Fairmont Res.,60.5
2021-04-12 03:42:07,Southern District,Bouquet Reservoir Inflow,26.1
2021-04-12 03:42:07,Southern District,Bouquet Reservoir Outflow,0.7
2021-04-12 03:42:07,Southern District,LAA #1 at Soledad Flow,0.2
2021-04-12 03:42:07,Southern District,LAA #2 at Soledad Flow,0.0
2021-04-12 03:42:07,Mono Basin,Lee Vining Intake Above Flow,29.1
2021-04-12 03:42:07,Mono Basin,Lee Vining Intake Below Flow,30.8
2021-04-12 03:42:07,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2021-04-12 03:42:07,Mono Basin,L.V. Conduit Below Intake Flow,0.6
2021-04-12 03:42:07,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-04-12 03:42:07,Mono Basin,Parker Ck. Under Conduit Flow,5.0
2021-04-12 03:42:07,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2021-04-12 03:42:07,Mono Basin,Grant Lk. Spill Flow,0.0
2021-04-12 03:42:07,Mono Basin,Mono Gate 1 Return Ditch Flow,30.0
2021-04-12 03:42:07,Mono Basin,Grant Lk. Outflow,45.9
2021-04-12 03:42:07,Mono Basin,Rush Ck. at Damsite Flow,20.2
2021-04-12 03:42:07,Mono Basin,Flow to West Portal,0.0
2021-04-12 03:42:07,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,33.5
2021-04-12 03:42:07,Northern Owens Valley,Pleasant Valley Outflow,148.7
2021-04-12 03:42:07,Northern Owens Valley,Baker Ck. At LA Station Flow,11.3
2021-04-12 03:42:07,Northern Owens Valley,Big Pine Ck. USGS Flow,12.3
2021-04-12 03:42:07,Northern Owens Valley,O.R. Below Big Pine,160.2
2021-04-12 03:42:07,Northern Owens Valley,Fish Springs At RR Flow,19.6
2021-04-12 03:42:07,Northern Owens Valley,Tinemaha Reservoir Outflow,147.5
2021-04-12 03:42:07,Northern Owens Valley,Bishop Creek Through Plant 6,52.5
2021-04-12 03:42:07,Northern Owens Valley,Bishop Creek Around Plant 6,2.3
2021-04-12 03:42:07,Southern Owens Valley,Tinemaha Reservoir Outflow,147.5
2021-04-12 03:42:07,Southern Owens Valley,Indep. Ck. At Junction Flow,3.0
2021-04-12 03:42:07,Southern Owens Valley,LAA at Alabama Flow,131.0
2021-04-12 03:42:07,Southern Owens Valley,Cottonwood Ck. At LAA Flow,5.0
2021-04-12 03:42:07,Southern Owens Valley,LAA at Cottonwood Flow,123.0
2021-04-12 03:42:07,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-04-12 03:42:07,Southern Owens Valley,Haiwee LAA #2 Current Flow,40.8
2021-04-12 03:42:07,Southern Owens Valley,Reinhackel Flow,1.5
2021-04-12 03:42:07,Southern Owens Valley,Lubkin Spillgate Outflow,20.6
2021-04-12 03:42:07,Southern Owens Valley,Cartago Spillgate Outflow,58.3
2021-04-12 03:42:08,Long Valley,Long Valley Elevation,6772.2
2021-04-12 03:42:08,Southern District,S. Haiwee Reservoir Elevation,3732.5
2021-04-12 03:42:08,Southern District,Fairmont Reservoir Elevation,3025.7
2021-04-12 03:42:08,Southern District,Bouquet Reservoir Elevation,2985.5
2021-04-12 03:42:08,Mono Basin,Mono Lk. Elevation,6380.9
2021-04-12 03:42:08,Mono Basin,Grant Lk. Elevation,7104.6
2021-04-12 03:42:08,Northern Owens Valley,Pleasant Valley Elevation,4374.7
2021-04-12 03:42:08,Southern Owens Valley,LAA at Alabama Level,4.8
2021-04-12 03:42:08,Southern Owens Valley,LAA at Alabama Water Temp,58.3
2021-04-12 03:42:08,Southern Owens Valley,LAA at Cottonwood Level,6.2
2021-04-12 03:42:08,Southern Owens Valley,LAA at Cotton. Water Temp,60.7
2021-04-12 03:42:08,Southern Owens Valley,N. Haiwee Elevation,3756.7
2021-04-12 03:42:08,Southern Owens Valley,S. Haiwee Reservoir Elevation,3732.5
2021-04-12 04:42:07,Long Valley,East Portal Flow,12.0
2021-04-12 04:42:07,Long Valley,OR Below EP Flow,57.0
2021-04-12 04:42:07,Long Valley,Hot Ck.at Hwy. Flow,12.0
2021-04-12 04:42:07,Long Valley,McGee Ck. Lower Sta. Flow,13.3
2021-04-12 04:42:07,Long Valley,Long Valley Elevation,6772.2
2021-04-12 04:42:07,Long Valley,Long Valley Current Outflow,0.0
2021-04-12 04:42:07,Long Valley,Rock Ck. Div. Flow,0.0
2021-04-12 04:42:07,Long Valley,Upper Gorge Total Release,65.0
2021-04-12 04:42:07,Long Valley,Release at Middle Gorge,0.0
2021-04-12 04:42:07,Lower Owens River Project,LORP Intake Flow,43.0
2021-04-12 04:42:07,Lower Owens River Project,LORP at Mazourka Canyon Road,43.0
2021-04-12 04:42:07,Lower Owens River Project,LORP at Reinhackle Springs,38.0
2021-04-12 04:42:07,Lower Owens River Project,LORP Above Pumpstation,48.0
2021-04-12 04:42:07,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2021-04-12 04:42:07,Southern District,Haiwee LAA #2 Current Flow,40.8
2021-04-12 04:42:07,Southern District,S. Haiwee Reservoir Elevation,3732.5
2021-04-12 04:42:07,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-04-12 04:42:07,Southern District,Fairmont Reservoir Elevation,3025.7
2021-04-12 04:42:07,Southern District,LAA #1 Flow at Fairmont Reservoir,0.8
2021-04-12 04:42:07,Southern District,LAA #2 Flow at Fairmont Res.,60.5
2021-04-12 04:42:07,Southern District,Bouquet Reservoir Elevation,2985.5
2021-04-12 04:42:07,Southern District,Bouquet Reservoir Inflow,30.9
2021-04-12 04:42:07,Southern District,Bouquet Reservoir Outflow,0.7
2021-04-12 04:42:07,Southern District,LAA #1 at Soledad Flow,0.2
2021-04-12 04:42:07,Southern District,LAA #2 at Soledad Flow,0.0
2021-04-12 04:42:07,Mono Basin,Lee Vining Intake Above Flow,29.1
2021-04-12 04:42:07,Mono Basin,Lee Vining Intake Below Flow,30.8
2021-04-12 04:42:07,Mono Basin,Mono Lk. Elevation,6380.9
2021-04-12 04:42:07,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2021-04-12 04:42:07,Mono Basin,L.V. Conduit Below Intake Flow,0.6
2021-04-12 04:42:07,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-04-12 04:42:07,Mono Basin,Parker Ck. Under Conduit Flow,5.0
2021-04-12 04:42:07,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2021-04-12 04:42:07,Mono Basin,Grant Lk. Spill Flow,0.0
2021-04-12 04:42:07,Mono Basin,Mono Gate 1 Return Ditch Flow,29.9
2021-04-12 04:42:07,Mono Basin,Grant Lk. Elevation,7104.5
2021-04-12 04:42:07,Mono Basin,Grant Lk. Outflow,46.1
2021-04-12 04:42:07,Mono Basin,Rush Ck. at Damsite Flow,20.2
2021-04-12 04:42:07,Mono Basin,Flow to West Portal,0.0
2021-04-12 04:42:07,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,33.5
2021-04-12 04:42:07,Northern Owens Valley,Pleasant Valley Elevation,4374.7
2021-04-12 04:42:07,Northern Owens Valley,Pleasant Valley Outflow,148.8
2021-04-12 04:42:07,Northern Owens Valley,Baker Ck. At LA Station Flow,10.2
2021-04-12 04:42:07,Northern Owens Valley,Big Pine Ck. USGS Flow,12.3
2021-04-12 04:42:07,Northern Owens Valley,O.R. Below Big Pine,160.2
2021-04-12 04:42:07,Northern Owens Valley,Fish Springs At RR Flow,19.6
2021-04-12 04:42:07,Northern Owens Valley,Tinemaha Reservoir Outflow,147.5
2021-04-12 04:42:07,Northern Owens Valley,Bishop Creek Through Plant 6,52.5
2021-04-12 04:42:07,Northern Owens Valley,Bishop Creek Around Plant 6,2.3
2021-04-12 04:42:07,Southern Owens Valley,Tinemaha Reservoir Outflow,147.5
2021-04-12 04:42:07,Southern Owens Valley,Indep. Ck. At Junction Flow,3.0
2021-04-12 04:42:07,Southern Owens Valley,LAA at Alabama Flow,129.0
2021-04-12 04:42:07,Southern Owens Valley,LAA at Alabama Level,4.7
2021-04-12 04:42:07,Southern Owens Valley,LAA at Alabama Water Temp,57.3
2021-04-12 04:42:07,Southern Owens Valley,Cottonwood Ck. At LAA Flow,5.0
2021-04-12 04:42:07,Southern Owens Valley,LAA at Cottonwood Flow,124.0
2021-04-12 04:42:07,Southern Owens Valley,LAA at Cottonwood Level,6.2
2021-04-12 04:42:07,Southern Owens Valley,LAA at Cotton. Water Temp,60.7
2021-04-12 04:42:07,Southern Owens Valley,N. Haiwee Elevation,3756.7
2021-04-12 04:42:07,Southern Owens Valley,S. Haiwee Reservoir Elevation,3732.5
2021-04-12 04:42:07,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-04-12 04:42:07,Southern Owens Valley,Haiwee LAA #2 Current Flow,40.8
2021-04-12 04:42:07,Southern Owens Valley,Reinhackel Flow,1.5
2021-04-12 04:42:07,Southern Owens Valley,Lubkin Spillgate Outflow,33.1
2021-04-12 04:42:07,Southern Owens Valley,Cartago Spillgate Outflow,57.1
2021-04-12 05:42:07,Long Valley,East Portal Flow,12.0
2021-04-12 05:42:07,Long Valley,OR Below EP Flow,58.0
2021-04-12 05:42:07,Long Valley,Hot Ck.at Hwy. Flow,12.0
2021-04-12 05:42:07,Long Valley,McGee Ck. Lower Sta. Flow,13.3
2021-04-12 05:42:07,Long Valley,Long Valley Current Outflow,0.0
2021-04-12 05:42:07,Long Valley,Rock Ck. Div. Flow,0.0
2021-04-12 05:42:07,Long Valley,Upper Gorge Total Release,65.0
2021-04-12 05:42:07,Long Valley,Release at Middle Gorge,0.0
2021-04-12 05:42:07,Lower Owens River Project,LORP Intake Flow,43.0
2021-04-12 05:42:07,Lower Owens River Project,LORP at Mazourka Canyon Road,45.0
2021-04-12 05:42:07,Lower Owens River Project,LORP at Reinhackle Springs,39.0
2021-04-12 05:42:07,Lower Owens River Project,LORP Above Pumpstation,48.0
2021-04-12 05:42:07,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2021-04-12 05:42:07,Southern District,Haiwee LAA #2 Current Flow,40.8
2021-04-12 05:42:07,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-04-12 05:42:07,Southern District,LAA #1 Flow at Fairmont Reservoir,0.8
2021-04-12 05:42:07,Southern District,LAA #2 Flow at Fairmont Res.,60.5
2021-04-12 05:42:07,Southern District,Bouquet Reservoir Inflow,30.3
2021-04-12 05:42:07,Southern District,Bouquet Reservoir Outflow,0.7
2021-04-12 05:42:07,Southern District,LAA #1 at Soledad Flow,0.2
2021-04-12 05:42:07,Southern District,LAA #2 at Soledad Flow,0.0
2021-04-12 05:42:07,Mono Basin,Lee Vining Intake Above Flow,29.1
2021-04-12 05:42:07,Mono Basin,Lee Vining Intake Below Flow,30.8
2021-04-12 05:42:07,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2021-04-12 05:42:07,Mono Basin,L.V. Conduit Below Intake Flow,0.6
2021-04-12 05:42:07,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-04-12 05:42:07,Mono Basin,Parker Ck. Under Conduit Flow,5.0
