date,district,source,value
2018-02-13 01:43:09,Southern Owens Valley,LAA at Alabama Level,6.3
2018-02-13 01:43:09,Southern Owens Valley,LAA at Alabama Water Temp,46.1
2018-02-13 01:43:09,Southern Owens Valley,LAA at Cottonwood Level,5.9
2018-02-13 01:43:09,Southern Owens Valley,LAA at Cotton. Water Temp,44.8
2018-02-13 01:43:09,Southern Owens Valley,N. Haiwee Elevation,3756.6
2018-02-13 01:43:09,Southern Owens Valley,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 01:43:09,Southern Owens Valley,Cartago Spillgate Outflow,34.4
2018-02-13 01:43:09,Long Valley,East Portal Flow,49.0
2018-02-13 01:43:09,Long Valley,OR Below EP Flow,106.0
2018-02-13 01:43:09,Long Valley,Hot Ck.at Hwy. Flow,9.0
2018-02-13 01:43:09,Long Valley,McGee Ck. Lower Sta. Flow,13.9
2018-02-13 01:43:09,Long Valley,Long Valley Elevation,6770.5
2018-02-13 01:43:09,Long Valley,Long Valley Current Outflow,0.0
2018-02-13 01:43:09,Long Valley,Rock Ck. Div. Flow,0.0
2018-02-13 01:43:09,Long Valley,Upper Gorge at TRS,13.0
2018-02-13 01:43:09,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,51.1
2018-02-13 01:43:09,Northern Owens Valley,Pleasant Valley Elevation,4387.0
2018-02-13 01:43:09,Northern Owens Valley,Pleasant Valley Outflow,3266.7
2018-02-13 01:43:09,Northern Owens Valley,Baker Ck. At LA Station Flow,6.2
2018-02-13 01:43:09,Northern Owens Valley,Big Pine Ck. USGS Flow,12.5
2018-02-13 01:43:09,Northern Owens Valley,O.R. Below Big Pine,168.2
2018-02-13 01:43:09,Northern Owens Valley,Fish Springs At RR Flow,44.3
2018-02-13 01:43:09,Northern Owens Valley,Bishop Creek Through Plant 6,54.6
2018-02-13 01:43:09,Northern Owens Valley,Bishop Creek Around Plant 6,4.9
2018-02-13 01:43:09,Lower Owens River Project,LORP at Mazourka Canyon Road,42.0
2018-02-13 01:43:09,Lower Owens River Project,LORP at Reinhackle Springs,51.0
2018-02-13 01:43:09,Lower Owens River Project,LORP Above Pumpstation,63.0
2018-02-13 01:43:09,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2018-02-13 01:43:09,Southern District,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 01:43:09,Southern District,Fairmont Reservoir Elevation,3025.6
2018-02-13 01:43:09,Southern District,LAA #1 Flow at Fairmont Reservoir,68.4
2018-02-13 01:43:09,Southern District,LAA #2 Flow at Fairmont Res.,198.4
2018-02-13 01:43:09,Southern District,Bouquet Reservoir Elevation,0.0
2018-02-13 01:43:09,Southern District,Bouquet Reservoir Inflow,0.0
2018-02-13 01:43:09,Southern District,Bouquet Reservoir Outflow,0.0
2018-02-13 01:43:09,Southern District,LAA #1 at Soledad Flow,184.0
2018-02-13 01:43:09,Southern District,LAA #2 at Soledad Flow,260.0
2018-02-13 01:43:09,Mono Basin,Lee Vining Intake Above Flow,26.6
2018-02-13 01:43:09,Mono Basin,Lee Vining Intake Below Flow,24.9
2018-02-13 01:43:09,Mono Basin,Mono Lk. Elevation,6381.3
2018-02-13 01:43:09,Mono Basin,Walker Ck. Above Conduit Flow,0.0
2018-02-13 01:43:09,Mono Basin,L.V. Conduit Below Intake Flow,0.1
2018-02-13 01:43:09,Mono Basin,Walker Ck. Under Conduit Flow,0.0
2018-02-13 01:43:09,Mono Basin,Parker Ck. Under Conduit Flow,5.0
2018-02-13 01:43:09,Mono Basin,Parker Ck. Above Conduit Flow,5.0
2018-02-13 01:43:09,Mono Basin,Grant Lk. Spill Flow,0.0
2018-02-13 01:43:09,Mono Basin,Mono Gate 1 Return Ditch Flow,38.2
2018-02-13 01:43:09,Mono Basin,Grant Lk. Elevation,7105.4
2018-02-13 01:43:09,Mono Basin,Grant Lk. Outflow,78.1
2018-02-13 01:43:09,Mono Basin,Rush Ck. at Damsite Flow,22.6
2018-02-13 01:43:09,Mono Basin,Flow to West Portal,39.9
2018-02-13 02:43:08,Southern Owens Valley,Tinemaha Reservoir Outflow,202.4
2018-02-13 02:43:08,Southern Owens Valley,Indep. Ck. At Junction Flow,3.2
2018-02-13 02:43:08,Southern Owens Valley,LAA at Alabama Flow,235.0
2018-02-13 02:43:08,Southern Owens Valley,Cottonwood Ck. At LAA Flow,1.0
2018-02-13 02:43:08,Southern Owens Valley,LAA at Cottonwood Flow,253.0
2018-02-13 02:43:08,Southern Owens Valley,Haiwee LAA #1 Current Flow,87.7
2018-02-13 02:43:08,Southern Owens Valley,Haiwee LAA #2 Current Flow,192.5
2018-02-13 02:43:08,Southern Owens Valley,Reinhackel Flow,2.1
2018-02-13 02:43:08,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2018-02-13 02:43:08,Northern Owens Valley,Tinemaha Reservoir Outflow,202.4
2018-02-13 02:43:08,Lower Owens River Project,LORP Intake Flow,43.0
2018-02-13 02:43:08,Southern District,Haiwee LAA #2 Current Flow,192.5
2018-02-13 02:43:08,Southern District,Haiwee LAA #1 Current Flow,87.7
2018-02-13 02:43:09,Southern Owens Valley,LAA at Alabama Level,6.3
2018-02-13 02:43:09,Southern Owens Valley,LAA at Alabama Water Temp,43.9
2018-02-13 02:43:09,Southern Owens Valley,LAA at Cottonwood Level,5.9
2018-02-13 02:43:09,Southern Owens Valley,LAA at Cotton. Water Temp,44.7
2018-02-13 02:43:09,Southern Owens Valley,N. Haiwee Elevation,3756.6
2018-02-13 02:43:09,Southern Owens Valley,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 02:43:09,Southern Owens Valley,Cartago Spillgate Outflow,27.0
2018-02-13 02:43:09,Long Valley,East Portal Flow,49.0
2018-02-13 02:43:09,Long Valley,OR Below EP Flow,105.0
2018-02-13 02:43:09,Long Valley,Hot Ck.at Hwy. Flow,9.0
2018-02-13 02:43:09,Long Valley,McGee Ck. Lower Sta. Flow,13.9
2018-02-13 02:43:09,Long Valley,Long Valley Elevation,6770.5
2018-02-13 02:43:09,Long Valley,Long Valley Current Outflow,0.0
2018-02-13 02:43:09,Long Valley,Rock Ck. Div. Flow,0.0
2018-02-13 02:43:09,Long Valley,Upper Gorge at TRS,13.0
2018-02-13 02:43:09,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,52.3
2018-02-13 02:43:09,Northern Owens Valley,Pleasant Valley Elevation,4387.0
2018-02-13 02:43:09,Northern Owens Valley,Pleasant Valley Outflow,3266.7
2018-02-13 02:43:09,Northern Owens Valley,Baker Ck. At LA Station Flow,6.2
2018-02-13 02:43:09,Northern Owens Valley,Big Pine Ck. USGS Flow,12.5
2018-02-13 02:43:09,Northern Owens Valley,O.R. Below Big Pine,168.2
2018-02-13 02:43:09,Northern Owens Valley,Fish Springs At RR Flow,44.3
2018-02-13 02:43:09,Northern Owens Valley,Bishop Creek Through Plant 6,54.7
2018-02-13 02:43:09,Northern Owens Valley,Bishop Creek Around Plant 6,4.8
2018-02-13 02:43:09,Lower Owens River Project,LORP at Mazourka Canyon Road,45.0
2018-02-13 02:43:09,Lower Owens River Project,LORP at Reinhackle Springs,52.0
2018-02-13 02:43:09,Lower Owens River Project,LORP Above Pumpstation,62.0
2018-02-13 02:43:09,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2018-02-13 02:43:09,Southern District,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 02:43:09,Southern District,Fairmont Reservoir Elevation,3025.7
2018-02-13 02:43:09,Southern District,LAA #1 Flow at Fairmont Reservoir,63.2
2018-02-13 02:43:09,Southern District,LAA #2 Flow at Fairmont Res.,198.4
2018-02-13 02:43:09,Southern District,Bouquet Reservoir Elevation,2985.6
2018-02-13 02:43:09,Southern District,Bouquet Reservoir Inflow,0.2
2018-02-13 02:43:09,Southern District,Bouquet Reservoir Outflow,212.3
2018-02-13 02:43:09,Southern District,LAA #1 at Soledad Flow,184.0
2018-02-13 02:43:09,Southern District,LAA #2 at Soledad Flow,258.2
2018-02-13 02:43:09,Mono Basin,Lee Vining Intake Above Flow,26.6
2018-02-13 02:43:09,Mono Basin,Lee Vining Intake Below Flow,24.9
2018-02-13 02:43:09,Mono Basin,Mono Lk. Elevation,6381.3
2018-02-13 02:43:09,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2018-02-13 02:43:09,Mono Basin,L.V. Conduit Below Intake Flow,0.1
2018-02-13 02:43:09,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2018-02-13 02:43:09,Mono Basin,Parker Ck. Under Conduit Flow,5.0
2018-02-13 02:43:09,Mono Basin,Parker Ck. Above Conduit Flow,5.0
2018-02-13 02:43:09,Mono Basin,Grant Lk. Spill Flow,0.0
2018-02-13 02:43:09,Mono Basin,Mono Gate 1 Return Ditch Flow,38.2
2018-02-13 02:43:09,Mono Basin,Grant Lk. Elevation,7105.4
2018-02-13 02:43:09,Mono Basin,Grant Lk. Outflow,78.1
2018-02-13 02:43:09,Mono Basin,Rush Ck. at Damsite Flow,22.6
2018-02-13 02:43:09,Mono Basin,Flow to West Portal,39.9
2018-02-13 03:43:08,Southern Owens Valley,Tinemaha Reservoir Outflow,202.4
2018-02-13 03:43:08,Southern Owens Valley,Indep. Ck. At Junction Flow,3.2
2018-02-13 03:43:08,Southern Owens Valley,LAA at Alabama Flow,235.0
2018-02-13 03:43:08,Southern Owens Valley,Cottonwood Ck. At LAA Flow,1.0
2018-02-13 03:43:08,Southern Owens Valley,LAA at Cottonwood Flow,253.0
2018-02-13 03:43:08,Southern Owens Valley,Haiwee LAA #1 Current Flow,87.7
2018-02-13 03:43:08,Southern Owens Valley,Reinhackel Flow,2.1
2018-02-13 03:43:08,Northern Owens Valley,Tinemaha Reservoir Outflow,202.4
2018-02-13 03:43:08,Lower Owens River Project,LORP Intake Flow,43.0
2018-02-13 03:43:08,Southern District,Haiwee LAA #1 Current Flow,87.7
2018-02-13 03:43:09,Southern Owens Valley,LAA at Alabama Level,6.3
2018-02-13 03:43:09,Southern Owens Valley,LAA at Alabama Water Temp,43.9
2018-02-13 03:43:09,Southern Owens Valley,LAA at Cottonwood Level,5.9
2018-02-13 03:43:09,Southern Owens Valley,LAA at Cotton. Water Temp,44.7
2018-02-13 03:43:09,Southern Owens Valley,N. Haiwee Elevation,3756.6
2018-02-13 03:43:09,Southern Owens Valley,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 03:43:09,Southern Owens Valley,Haiwee LAA #2 Current Flow,192.5
2018-02-13 03:43:09,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2018-02-13 03:43:09,Southern Owens Valley,Cartago Spillgate Outflow,26.0
2018-02-13 03:43:09,Long Valley,East Portal Flow,49.0
2018-02-13 03:43:09,Long Valley,OR Below EP Flow,105.0
2018-02-13 03:43:09,Long Valley,Hot Ck.at Hwy. Flow,9.0
2018-02-13 03:43:09,Long Valley,McGee Ck. Lower Sta. Flow,13.9
2018-02-13 03:43:09,Long Valley,Long Valley Elevation,6770.5
2018-02-13 03:43:09,Long Valley,Long Valley Current Outflow,0.0
2018-02-13 03:43:09,Long Valley,Rock Ck. Div. Flow,0.0
2018-02-13 03:43:09,Long Valley,Upper Gorge at TRS,13.0
2018-02-13 03:43:09,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,50.8
2018-02-13 03:43:09,Northern Owens Valley,Pleasant Valley Elevation,4387.0
2018-02-13 03:43:09,Northern Owens Valley,Pleasant Valley Outflow,3266.8
2018-02-13 03:43:09,Northern Owens Valley,Baker Ck. At LA Station Flow,6.2
2018-02-13 03:43:09,Northern Owens Valley,Big Pine Ck. USGS Flow,12.5
2018-02-13 03:43:09,Northern Owens Valley,O.R. Below Big Pine,168.1
2018-02-13 03:43:09,Northern Owens Valley,Fish Springs At RR Flow,44.3
2018-02-13 03:43:09,Northern Owens Valley,Bishop Creek Through Plant 6,54.3
2018-02-13 03:43:09,Northern Owens Valley,Bishop Creek Around Plant 6,4.8
2018-02-13 03:43:09,Lower Owens River Project,LORP at Mazourka Canyon Road,42.0
2018-02-13 03:43:09,Lower Owens River Project,LORP at Reinhackle Springs,53.0
2018-02-13 03:43:09,Lower Owens River Project,LORP Above Pumpstation,62.0
2018-02-13 03:43:09,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2018-02-13 03:43:09,Southern District,Haiwee LAA #2 Current Flow,192.5
2018-02-13 03:43:09,Southern District,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 03:43:09,Southern District,Fairmont Reservoir Elevation,3025.7
2018-02-13 03:43:09,Southern District,LAA #1 Flow at Fairmont Reservoir,58.4
2018-02-13 03:43:09,Southern District,LAA #2 Flow at Fairmont Res.,198.3
2018-02-13 03:43:09,Southern District,Bouquet Reservoir Elevation,2985.6
2018-02-13 03:43:09,Southern District,Bouquet Reservoir Inflow,0.2
2018-02-13 03:43:09,Southern District,Bouquet Reservoir Outflow,216.6
2018-02-13 03:43:09,Southern District,LAA #1 at Soledad Flow,184.0
2018-02-13 03:43:09,Southern District,LAA #2 at Soledad Flow,258.2
2018-02-13 03:43:09,Mono Basin,Lee Vining Intake Above Flow,26.6
2018-02-13 03:43:09,Mono Basin,Lee Vining Intake Below Flow,24.9
2018-02-13 03:43:09,Mono Basin,Mono Lk. Elevation,6381.3
2018-02-13 03:43:09,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2018-02-13 03:43:09,Mono Basin,L.V. Conduit Below Intake Flow,0.1
2018-02-13 03:43:09,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2018-02-13 03:43:09,Mono Basin,Parker Ck. Under Conduit Flow,5.0
2018-02-13 03:43:09,Mono Basin,Parker Ck. Above Conduit Flow,5.0
2018-02-13 03:43:09,Mono Basin,Grant Lk. Spill Flow,0.0
2018-02-13 03:43:09,Mono Basin,Mono Gate 1 Return Ditch Flow,38.2
2018-02-13 03:43:09,Mono Basin,Grant Lk. Elevation,7105.4
2018-02-13 03:43:09,Mono Basin,Grant Lk. Outflow,78.1
2018-02-13 03:43:09,Mono Basin,Rush Ck. at Damsite Flow,22.6
2018-02-13 03:43:09,Mono Basin,Flow to West Portal,39.9
2018-02-13 04:43:08,Southern Owens Valley,LAA at Alabama Flow,235.0
2018-02-13 04:43:08,Southern Owens Valley,Cottonwood Ck. At LAA Flow,1.0
2018-02-13 04:43:09,Southern Owens Valley,Tinemaha Reservoir Outflow,202.4
2018-02-13 04:43:09,Southern Owens Valley,Indep. Ck. At Junction Flow,3.2
2018-02-13 04:43:09,Southern Owens Valley,LAA at Alabama Level,6.3
2018-02-13 04:43:09,Southern Owens Valley,LAA at Alabama Water Temp,43.9
2018-02-13 04:43:09,Southern Owens Valley,LAA at Cottonwood Flow,253.0
2018-02-13 04:43:09,Southern Owens Valley,LAA at Cottonwood Level,5.9
2018-02-13 04:43:09,Southern Owens Valley,LAA at Cotton. Water Temp,44.5
2018-02-13 04:43:09,Southern Owens Valley,N. Haiwee Elevation,3756.6
2018-02-13 04:43:09,Southern Owens Valley,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 04:43:09,Southern Owens Valley,Haiwee LAA #1 Current Flow,87.7
2018-02-13 04:43:09,Southern Owens Valley,Haiwee LAA #2 Current Flow,192.5
2018-02-13 04:43:09,Southern Owens Valley,Reinhackel Flow,2.1
2018-02-13 04:43:09,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2018-02-13 04:43:09,Southern Owens Valley,Cartago Spillgate Outflow,34.6
2018-02-13 04:43:09,Long Valley,East Portal Flow,49.0
2018-02-13 04:43:09,Long Valley,OR Below EP Flow,105.0
2018-02-13 04:43:09,Long Valley,Hot Ck.at Hwy. Flow,10.0
2018-02-13 04:43:09,Long Valley,McGee Ck. Lower Sta. Flow,13.9
2018-02-13 04:43:09,Long Valley,Long Valley Elevation,6770.5
2018-02-13 04:43:09,Long Valley,Long Valley Current Outflow,0.0
2018-02-13 04:43:09,Long Valley,Rock Ck. Div. Flow,0.0
2018-02-13 04:43:09,Long Valley,Upper Gorge at TRS,13.0
2018-02-13 04:43:09,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,51.0
2018-02-13 04:43:09,Northern Owens Valley,Pleasant Valley Elevation,4387.0
2018-02-13 04:43:09,Northern Owens Valley,Pleasant Valley Outflow,3266.8
2018-02-13 04:43:09,Northern Owens Valley,Baker Ck. At LA Station Flow,6.2
2018-02-13 04:43:09,Northern Owens Valley,Big Pine Ck. USGS Flow,12.5
2018-02-13 04:43:09,Northern Owens Valley,O.R. Below Big Pine,168.2
2018-02-13 04:43:09,Northern Owens Valley,Fish Springs At RR Flow,44.3
2018-02-13 04:43:09,Northern Owens Valley,Tinemaha Reservoir Outflow,202.4
2018-02-13 04:43:09,Northern Owens Valley,Bishop Creek Through Plant 6,53.4
2018-02-13 04:43:09,Northern Owens Valley,Bishop Creek Around Plant 6,4.8
2018-02-13 04:43:09,Lower Owens River Project,LORP Intake Flow,42.0
2018-02-13 04:43:09,Lower Owens River Project,LORP at Mazourka Canyon Road,41.0
2018-02-13 04:43:09,Lower Owens River Project,LORP at Reinhackle Springs,58.0
2018-02-13 04:43:09,Lower Owens River Project,LORP Above Pumpstation,62.0
2018-02-13 04:43:09,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2018-02-13 04:43:09,Southern District,Haiwee LAA #2 Current Flow,192.5
2018-02-13 04:43:09,Southern District,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 04:43:09,Southern District,Haiwee LAA #1 Current Flow,87.7
2018-02-13 04:43:09,Southern District,Fairmont Reservoir Elevation,3025.7
2018-02-13 04:43:09,Southern District,LAA #1 Flow at Fairmont Reservoir,58.4
2018-02-13 04:43:09,Southern District,LAA #2 Flow at Fairmont Res.,198.3
2018-02-13 04:43:09,Southern District,Bouquet Reservoir Elevation,2985.6
2018-02-13 04:43:09,Southern District,Bouquet Reservoir Inflow,0.2
2018-02-13 04:43:09,Southern District,Bouquet Reservoir Outflow,216.3
2018-02-13 04:43:09,Southern District,LAA #1 at Soledad Flow,182.0
2018-02-13 04:43:09,Southern District,LAA #2 at Soledad Flow,258.2
2018-02-13 04:43:09,Mono Basin,Lee Vining Intake Above Flow,26.6
2018-02-13 04:43:09,Mono Basin,Lee Vining Intake Below Flow,24.9
2018-02-13 04:43:09,Mono Basin,Mono Lk. Elevation,6381.3
2018-02-13 04:43:09,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2018-02-13 04:43:09,Mono Basin,L.V. Conduit Below Intake Flow,0.1
2018-02-13 04:43:09,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2018-02-13 04:43:09,Mono Basin,Parker Ck. Under Conduit Flow,5.0
2018-02-13 04:43:09,Mono Basin,Parker Ck. Above Conduit Flow,5.0
2018-02-13 04:43:09,Mono Basin,Grant Lk. Spill Flow,0.0
2018-02-13 04:43:09,Mono Basin,Mono Gate 1 Return Ditch Flow,38.4
2018-02-13 04:43:09,Mono Basin,Grant Lk. Elevation,7104.0
2018-02-13 04:43:09,Mono Basin,Grant Lk. Outflow,78.1
2018-02-13 04:43:09,Mono Basin,Rush Ck. at Damsite Flow,22.6
2018-02-13 04:43:09,Mono Basin,Flow to West Portal,39.7
2018-02-13 05:43:08,Southern Owens Valley,Tinemaha Reservoir Outflow,202.3
2018-02-13 05:43:08,Southern Owens Valley,Indep. Ck. At Junction Flow,3.2
2018-02-13 05:43:08,Southern Owens Valley,LAA at Alabama Flow,235.0
2018-02-13 05:43:08,Southern Owens Valley,Cottonwood Ck. At LAA Flow,1.0
2018-02-13 05:43:08,Southern Owens Valley,LAA at Cottonwood Flow,253.0
2018-02-13 05:43:08,Southern Owens Valley,Reinhackel Flow,2.1
2018-02-13 05:43:08,Northern Owens Valley,Tinemaha Reservoir Outflow,202.3
2018-02-13 05:43:08,Lower Owens River Project,LORP Intake Flow,42.0
2018-02-13 05:43:09,Southern Owens Valley,LAA at Alabama Level,6.3
2018-02-13 05:43:09,Southern Owens Valley,LAA at Alabama Water Temp,43.9
2018-02-13 05:43:09,Southern Owens Valley,LAA at Cottonwood Level,5.9
2018-02-13 05:43:09,Southern Owens Valley,LAA at Cotton. Water Temp,44.4
2018-02-13 05:43:09,Southern Owens Valley,N. Haiwee Elevation,3756.6
2018-02-13 05:43:09,Southern Owens Valley,S. Haiwee Reservoir Elevation,3732.2
2018-02-13 05:43:09,Southern Owens Valley,Haiwee LAA #1 Current Flow,87.7
2018-02-13 05:43:09,Southern Owens Valley,Haiwee LAA #2 Current Flow,192.5
2018-02-13 05:43:09,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2018-02-13 05:43:09,Southern Owens Valley,Cartago Spillgate Outflow,26.0
2018-02-13 05:43:09,Long Valley,East Portal Flow,49.0
2018-02-13 05:43:09,Long Valley,OR Below EP Flow,105.0
2018-02-13 05:43:09,Long Valley,Hot Ck.at Hwy. Flow,10.0
2018-02-13 05:43:09,Long Valley,McGee Ck. Lower Sta. Flow,13.9
2018-02-13 05:43:09,Long Valley,Long Valley Elevation,6770.5
2018-02-13 05:43:09,Long Valley,Long Valley Current Outflow,0.0
2018-02-13 05:43:09,Long Valley,Rock Ck. Div. Flow,0.0
2018-02-13 05:43:09,Long Valley,Upper Gorge at TRS,13.0
2018-02-13 05:43:09,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,51.2
2018-02-13 05:43:09,Northern Owens Valley,Pleasant Valley Elevation,4387.0
2018-02-13 05:43:09,Northern Owens Valley,Pleasant Valley Outflow,3266.9
2018-02-13 05:43:09,Northern Owens Valley,Baker Ck. At LA Station Flow,6.2
