date,district,source,value
2021-10-24 00:40:22,Mono Basin,Lee Vining Intake Above Flow,22.1
2021-10-24 00:40:22,Mono Basin,Lee Vining Intake Below Flow,24.1
2021-10-24 00:40:22,Mono Basin,Walker Ck. Above Conduit Flow,1.0
2021-10-24 00:40:22,Mono Basin,L.V. Conduit Below Intake Flow,0.4
2021-10-24 00:40:22,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-10-24 00:40:22,Mono Basin,Parker Ck. Under Conduit Flow,2.0
2021-10-24 00:40:22,Mono Basin,Parker Ck. Above Conduit Flow,2.0
2021-10-24 00:40:22,Mono Basin,Rush Ck. at Damsite Flow,4.7
2021-10-24 00:40:22,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,32.8
2021-10-24 00:40:22,Northern Owens Valley,Pleasant Valley Outflow,154.1
2021-10-24 00:40:22,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2021-10-24 00:40:22,Northern Owens Valley,Big Pine Ck. USGS Flow,14.4
2021-10-24 00:40:22,Northern Owens Valley,O.R. Below Big Pine,194.8
2021-10-24 00:40:22,Northern Owens Valley,Fish Springs At RR Flow,40.9
2021-10-24 00:40:22,Northern Owens Valley,Tinemaha Reservoir Outflow,308.8
2021-10-24 00:40:22,Northern Owens Valley,Bishop Creek Through Plant 6,44.2
2021-10-24 00:40:22,Northern Owens Valley,Bishop Creek Around Plant 6,2.2
2021-10-24 00:40:22,Lower Owens River Project,LORP Intake Flow,45.0
2021-10-24 00:40:22,Lower Owens River Project,LORP at Mazourka Canyon Road,47.0
2021-10-24 00:40:22,Lower Owens River Project,LORP at Reinhackle Springs,46.0
2021-10-24 00:40:22,Lower Owens River Project,LORP Above Pumpstation,53.0
2021-10-24 00:40:22,Lower Owens River Project,LORP At Pump Station Discharge Flow,47.0
2021-10-24 00:40:22,Southern Owens Valley,Tinemaha Reservoir Outflow,308.8
2021-10-24 00:40:22,Southern Owens Valley,Indep. Ck. At Junction Flow,1.3
2021-10-24 00:40:22,Southern Owens Valley,LAA at Alabama Flow,273.0
2021-10-24 00:40:22,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-10-24 00:40:22,Southern Owens Valley,LAA at Cottonwood Flow,320.0
2021-10-24 00:40:22,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-10-24 00:40:22,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2021-10-24 00:40:22,Southern Owens Valley,Reinhackel Flow,1.7
2021-10-24 00:40:22,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2021-10-24 00:40:22,Southern Owens Valley,Cartago Spillgate Outflow,60.3
2021-10-24 00:40:22,Long Valley,Hot Ck.at Hwy. Flow,3.0
2021-10-24 00:40:22,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-10-24 00:40:22,Long Valley,Long Valley Current Outflow,0.1
2021-10-24 00:40:22,Long Valley,Rock Ck. Div. Flow,135.9
2021-10-24 00:40:22,Long Valley,Upper Gorge Total Release,12.8
2021-10-24 00:40:22,Long Valley,Release at Middle Gorge,0.0
2021-10-24 00:40:22,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-24 00:40:22,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-24 00:40:23,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-24 00:40:23,Mono Basin,Grant Lk. Spill Flow,0.0
2021-10-24 00:40:23,Mono Basin,Mono Gate 1 Return Ditch Flow,27.2
2021-10-24 00:40:23,Mono Basin,Grant Lk. Elevation,7099.4
2021-10-24 00:40:23,Mono Basin,Grant Lk. Outflow,91.7
2021-10-24 00:40:23,Mono Basin,Flow to West Portal,59.6
2021-10-24 00:40:23,Northern Owens Valley,Pleasant Valley Elevation,4386.2
2021-10-24 00:40:23,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-24 00:40:23,Southern Owens Valley,LAA at Alabama Water Temp,55.6
2021-10-24 00:40:23,Southern Owens Valley,LAA at Cottonwood Level,9.2
2021-10-24 00:40:23,Southern Owens Valley,LAA at Cotton. Water Temp,55.7
2021-10-24 00:40:23,Southern Owens Valley,N. Haiwee Elevation,3756.8
2021-10-24 00:40:23,Southern Owens Valley,S. Haiwee Reservoir Elevation,3724.2
2021-10-24 00:40:23,Long Valley,East Portal Flow,71.0
2021-10-24 00:40:23,Long Valley,OR Below EP Flow,118.0
2021-10-24 00:40:23,Long Valley,Long Valley Elevation,6757.7
2021-10-24 00:40:23,Southern District,S. Haiwee Reservoir Elevation,3724.2
2021-10-24 00:40:23,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-24 00:40:23,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-24 00:40:23,Southern District,LAA #2 Flow at Fairmont Res.,49.8
2021-10-24 00:40:23,Southern District,Bouquet Reservoir Elevation,2982.6
2021-10-24 00:40:23,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-24 00:40:23,Southern District,Bouquet Reservoir Outflow,42.4
2021-10-24 00:40:23,Southern District,LAA #1 at Soledad Flow,5.8
2021-10-24 00:40:23,Southern District,LAA #2 at Soledad Flow,0.0
2021-10-24 01:40:23,Mono Basin,Lee Vining Intake Above Flow,22.1
2021-10-24 01:40:23,Mono Basin,Lee Vining Intake Below Flow,24.1
2021-10-24 01:40:23,Mono Basin,Walker Ck. Above Conduit Flow,1.0
2021-10-24 01:40:23,Mono Basin,L.V. Conduit Below Intake Flow,0.4
2021-10-24 01:40:23,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-10-24 01:40:23,Mono Basin,Parker Ck. Under Conduit Flow,2.0
2021-10-24 01:40:23,Mono Basin,Parker Ck. Above Conduit Flow,2.0
2021-10-24 01:40:23,Mono Basin,Grant Lk. Spill Flow,0.0
2021-10-24 01:40:23,Mono Basin,Mono Gate 1 Return Ditch Flow,27.2
2021-10-24 01:40:23,Mono Basin,Grant Lk. Outflow,91.8
2021-10-24 01:40:23,Mono Basin,Rush Ck. at Damsite Flow,4.7
2021-10-24 01:40:23,Mono Basin,Flow to West Portal,59.6
2021-10-24 01:40:23,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,32.8
2021-10-24 01:40:23,Northern Owens Valley,Pleasant Valley Outflow,153.9
2021-10-24 01:40:23,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2021-10-24 01:40:23,Northern Owens Valley,Big Pine Ck. USGS Flow,14.4
2021-10-24 01:40:23,Northern Owens Valley,O.R. Below Big Pine,194.8
2021-10-24 01:40:23,Northern Owens Valley,Fish Springs At RR Flow,40.9
2021-10-24 01:40:23,Northern Owens Valley,Tinemaha Reservoir Outflow,309.4
2021-10-24 01:40:23,Northern Owens Valley,Bishop Creek Through Plant 6,44.2
2021-10-24 01:40:23,Northern Owens Valley,Bishop Creek Around Plant 6,2.2
2021-10-24 01:40:23,Lower Owens River Project,LORP Intake Flow,45.0
2021-10-24 01:40:23,Lower Owens River Project,LORP at Mazourka Canyon Road,48.0
2021-10-24 01:40:23,Lower Owens River Project,LORP at Reinhackle Springs,44.0
2021-10-24 01:40:23,Lower Owens River Project,LORP Above Pumpstation,50.0
2021-10-24 01:40:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,44.0
2021-10-24 01:40:23,Southern Owens Valley,Tinemaha Reservoir Outflow,309.4
2021-10-24 01:40:23,Southern Owens Valley,Indep. Ck. At Junction Flow,1.3
2021-10-24 01:40:23,Southern Owens Valley,LAA at Alabama Flow,273.0
2021-10-24 01:40:23,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-24 01:40:23,Southern Owens Valley,LAA at Alabama Water Temp,55.2
2021-10-24 01:40:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-10-24 01:40:23,Southern Owens Valley,LAA at Cottonwood Flow,332.0
2021-10-24 01:40:23,Southern Owens Valley,LAA at Cottonwood Level,9.3
2021-10-24 01:40:23,Southern Owens Valley,LAA at Cotton. Water Temp,55.9
2021-10-24 01:40:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-10-24 01:40:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2021-10-24 01:40:23,Southern Owens Valley,Reinhackel Flow,1.7
2021-10-24 01:40:23,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2021-10-24 01:40:23,Southern Owens Valley,Cartago Spillgate Outflow,60.3
2021-10-24 01:40:23,Long Valley,East Portal Flow,72.0
2021-10-24 01:40:23,Long Valley,OR Below EP Flow,118.0
2021-10-24 01:40:23,Long Valley,Hot Ck.at Hwy. Flow,3.0
2021-10-24 01:40:23,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-10-24 01:40:23,Long Valley,Long Valley Current Outflow,0.1
2021-10-24 01:40:23,Long Valley,Rock Ck. Div. Flow,135.9
2021-10-24 01:40:23,Long Valley,Upper Gorge Total Release,12.9
2021-10-24 01:40:23,Long Valley,Release at Middle Gorge,0.0
2021-10-24 01:40:23,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-24 01:40:23,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-24 01:40:23,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-24 01:40:23,Southern District,LAA #2 Flow at Fairmont Res.,50.3
2021-10-24 01:40:23,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-24 01:40:23,Southern District,Bouquet Reservoir Outflow,47.2
2021-10-24 01:40:23,Southern District,LAA #1 at Soledad Flow,5.8
2021-10-24 01:40:23,Southern District,LAA #2 at Soledad Flow,0.0
2021-10-24 01:40:24,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-24 01:40:24,Mono Basin,Grant Lk. Elevation,7099.4
2021-10-24 01:40:24,Northern Owens Valley,Pleasant Valley Elevation,4386.2
2021-10-24 01:40:24,Southern Owens Valley,N. Haiwee Elevation,3756.8
2021-10-24 01:40:24,Southern Owens Valley,S. Haiwee Reservoir Elevation,3724.2
2021-10-24 01:40:24,Long Valley,Long Valley Elevation,6757.7
2021-10-24 01:40:24,Southern District,S. Haiwee Reservoir Elevation,3724.2
2021-10-24 01:40:24,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-24 01:40:24,Southern District,Bouquet Reservoir Elevation,2982.6
2021-10-24 02:40:23,Mono Basin,Lee Vining Intake Above Flow,22.1
2021-10-24 02:40:23,Mono Basin,Lee Vining Intake Below Flow,24.1
2021-10-24 02:40:23,Mono Basin,Walker Ck. Above Conduit Flow,1.0
2021-10-24 02:40:23,Mono Basin,L.V. Conduit Below Intake Flow,0.4
2021-10-24 02:40:23,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-10-24 02:40:23,Mono Basin,Parker Ck. Under Conduit Flow,2.0
2021-10-24 02:40:23,Mono Basin,Parker Ck. Above Conduit Flow,2.0
2021-10-24 02:40:23,Mono Basin,Grant Lk. Spill Flow,0.0
2021-10-24 02:40:23,Mono Basin,Mono Gate 1 Return Ditch Flow,27.2
2021-10-24 02:40:23,Mono Basin,Grant Lk. Outflow,91.8
2021-10-24 02:40:23,Mono Basin,Rush Ck. at Damsite Flow,4.7
2021-10-24 02:40:23,Mono Basin,Flow to West Portal,59.6
2021-10-24 02:40:23,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,32.8
2021-10-24 02:40:23,Northern Owens Valley,Pleasant Valley Outflow,154.1
2021-10-24 02:40:23,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2021-10-24 02:40:23,Northern Owens Valley,Big Pine Ck. USGS Flow,14.4
2021-10-24 02:40:23,Northern Owens Valley,O.R. Below Big Pine,194.8
2021-10-24 02:40:23,Northern Owens Valley,Fish Springs At RR Flow,40.9
2021-10-24 02:40:23,Northern Owens Valley,Tinemaha Reservoir Outflow,305.4
2021-10-24 02:40:23,Northern Owens Valley,Bishop Creek Through Plant 6,44.2
2021-10-24 02:40:23,Northern Owens Valley,Bishop Creek Around Plant 6,2.2
2021-10-24 02:40:23,Lower Owens River Project,LORP Intake Flow,45.0
2021-10-24 02:40:23,Lower Owens River Project,LORP at Mazourka Canyon Road,48.0
2021-10-24 02:40:23,Lower Owens River Project,LORP at Reinhackle Springs,45.0
2021-10-24 02:40:23,Lower Owens River Project,LORP Above Pumpstation,53.0
2021-10-24 02:40:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,47.0
2021-10-24 02:40:23,Southern Owens Valley,Tinemaha Reservoir Outflow,305.4
2021-10-24 02:40:23,Southern Owens Valley,Indep. Ck. At Junction Flow,1.3
2021-10-24 02:40:23,Southern Owens Valley,LAA at Alabama Flow,273.0
2021-10-24 02:40:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-10-24 02:40:23,Southern Owens Valley,LAA at Cottonwood Flow,322.0
2021-10-24 02:40:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-10-24 02:40:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2021-10-24 02:40:23,Southern Owens Valley,Reinhackel Flow,1.7
2021-10-24 02:40:23,Southern Owens Valley,Lubkin Spillgate Outflow,4.6
2021-10-24 02:40:23,Southern Owens Valley,Cartago Spillgate Outflow,60.3
2021-10-24 02:40:23,Long Valley,East Portal Flow,72.0
2021-10-24 02:40:23,Long Valley,OR Below EP Flow,117.0
2021-10-24 02:40:23,Long Valley,Hot Ck.at Hwy. Flow,3.0
2021-10-24 02:40:23,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-10-24 02:40:23,Long Valley,Long Valley Current Outflow,0.1
2021-10-24 02:40:23,Long Valley,Rock Ck. Div. Flow,135.9
2021-10-24 02:40:23,Long Valley,Upper Gorge Total Release,12.9
2021-10-24 02:40:23,Long Valley,Release at Middle Gorge,0.0
2021-10-24 02:40:23,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-24 02:40:23,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-24 02:40:23,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-24 02:40:23,Southern District,LAA #2 Flow at Fairmont Res.,50.3
2021-10-24 02:40:23,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-24 02:40:23,Southern District,Bouquet Reservoir Outflow,46.4
2021-10-24 02:40:23,Southern District,LAA #1 at Soledad Flow,5.8
2021-10-24 02:40:23,Southern District,LAA #2 at Soledad Flow,0.0
2021-10-24 02:40:24,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-24 02:40:24,Mono Basin,Grant Lk. Elevation,7099.4
2021-10-24 02:40:24,Northern Owens Valley,Pleasant Valley Elevation,4386.1
2021-10-24 02:40:24,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-24 02:40:24,Southern Owens Valley,LAA at Alabama Water Temp,54.7
2021-10-24 02:40:24,Southern Owens Valley,LAA at Cottonwood Level,9.2
2021-10-24 02:40:24,Southern Owens Valley,LAA at Cotton. Water Temp,55.9
2021-10-24 02:40:24,Southern Owens Valley,N. Haiwee Elevation,3756.9
2021-10-24 02:40:24,Southern Owens Valley,S. Haiwee Reservoir Elevation,3724.2
2021-10-24 02:40:24,Long Valley,Long Valley Elevation,6757.7
2021-10-24 02:40:24,Southern District,S. Haiwee Reservoir Elevation,3724.2
2021-10-24 02:40:24,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-24 02:40:24,Southern District,Bouquet Reservoir Elevation,2982.6
