date,district,source,value
2017-06-14 02:39:53,Southern Owens Valley,Lubkin Spillgate Outflow,39.8
2017-06-14 02:39:53,Southern Owens Valley,Cartago Spillgate Outflow,98.7
2017-06-14 02:39:53,Long Valley,East Portal Flow,12.0
2017-06-14 02:39:53,Long Valley,OR Below EP Flow,116.0
2017-06-14 02:39:53,Long Valley,Hot Ck.at Hwy. Flow,140.0
2017-06-14 02:39:53,Long Valley,McGee Ck. Lower Sta. Flow,98.3
2017-06-14 02:39:53,Long Valley,Long Valley Current Outflow,591.0
2017-06-14 02:39:53,Long Valley,Rock Ck. Div. Flow,78.2
2017-06-14 02:39:53,Long Valley,Upper Gorge at TRS,14.0
2017-06-14 02:39:53,Mono Basin,Lee Vining Intake Above Flow,261.4
2017-06-14 02:39:53,Mono Basin,Lee Vining Intake Below Flow,297.8
2017-06-14 02:39:53,Mono Basin,Walker Ck. Above Conduit Flow,27.0
2017-06-14 02:39:53,Mono Basin,L.V. Conduit Below Intake Flow,0.4
2017-06-14 02:39:53,Mono Basin,Walker Ck. Under Conduit Flow,23.0
2017-06-14 02:39:53,Mono Basin,Parker Ck. Under Conduit Flow,28.0
2017-06-14 02:39:53,Mono Basin,Parker Ck. Above Conduit Flow,30.0
2017-06-14 02:39:53,Mono Basin,Grant Lk. Spill Flow,198.0
2017-06-14 02:39:53,Mono Basin,Mono Gate 1 Return Ditch Flow,368.6
2017-06-14 02:39:53,Mono Basin,Grant Lk. Outflow,381.4
2017-06-14 02:39:53,Mono Basin,Rush Ck. at Damsite Flow,537.1
2017-06-14 02:39:53,Mono Basin,Flow to West Portal,0.0
2017-06-14 02:39:54,Southern District,S. Haiwee Reservoir Elevation,3728.1
2017-06-14 02:39:54,Southern District,Fairmont Reservoir Elevation,3027.4
2017-06-14 02:39:54,Southern District,Bouquet Reservoir Elevation,2985.2
2017-06-14 02:39:54,Northern Owens Valley,Pleasant Valley Elevation,4395.9
2017-06-14 02:39:54,Southern Owens Valley,LAA at Alabama Level,10.0
2017-06-14 02:39:54,Southern Owens Valley,LAA at Alabama Water Temp,63.4
2017-06-14 02:39:54,Southern Owens Valley,LAA at Cottonwood Level,11.4
2017-06-14 02:39:54,Southern Owens Valley,LAA at Cotton. Water Temp,61.5
2017-06-14 02:39:54,Southern Owens Valley,N. Haiwee Elevation,3756.6
2017-06-14 02:39:54,Southern Owens Valley,S. Haiwee Reservoir Elevation,3728.1
2017-06-14 02:39:54,Long Valley,Long Valley Elevation,6760.7
2017-06-14 02:39:54,Mono Basin,Mono Lk. Elevation,6378.7
2017-06-14 02:39:54,Mono Basin,Grant Lk. Elevation,7131.2
2017-06-14 03:39:53,Southern District,Haiwee LAA #2 Current Flow,276.2
2017-06-14 03:39:53,Southern District,Haiwee LAA #1 Current Flow,398.8
2017-06-14 03:39:53,Southern District,LAA #1 Flow at Fairmont Reservoir,411.8
2017-06-14 03:39:53,Southern District,LAA #2 Flow at Fairmont Res.,284.3
2017-06-14 03:39:53,Southern District,Bouquet Reservoir Inflow,4.0
2017-06-14 03:39:53,Southern District,Bouquet Reservoir Outflow,0.3
2017-06-14 03:39:53,Southern District,LAA #1 at Soledad Flow,357.0
2017-06-14 03:39:53,Southern District,LAA #2 at Soledad Flow,268.8
2017-06-14 03:39:53,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,160.5
2017-06-14 03:39:53,Northern Owens Valley,Pleasant Valley Outflow,766.4
2017-06-14 03:39:53,Northern Owens Valley,Baker Ck. At LA Station Flow,15.4
2017-06-14 03:39:53,Northern Owens Valley,Big Pine Ck. USGS Flow,126.3
2017-06-14 03:39:53,Northern Owens Valley,O.R. Below Big Pine,946.9
2017-06-14 03:39:53,Northern Owens Valley,Fish Springs At RR Flow,38.4
2017-06-14 03:39:53,Northern Owens Valley,Tinemaha Reservoir Outflow,872.0
2017-06-14 03:39:53,Northern Owens Valley,Bishop Creek Through Plant 6,148.7
2017-06-14 03:39:53,Northern Owens Valley,Bishop Creek Around Plant 6,226.2
2017-06-14 03:39:53,Lower Owens River Project,LORP Intake Flow,249.0
2017-06-14 03:39:53,Lower Owens River Project,LORP at Mazourka Canyon Road,196.0
2017-06-14 03:39:53,Lower Owens River Project,LORP at Reinhackle Springs,84.0
2017-06-14 03:39:53,Lower Owens River Project,LORP Above Pumpstation,73.0
2017-06-14 03:39:53,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2017-06-14 03:39:53,Southern Owens Valley,Tinemaha Reservoir Outflow,872.0
2017-06-14 03:39:53,Southern Owens Valley,Indep. Ck. At Junction Flow,84.6
2017-06-14 03:39:53,Southern Owens Valley,LAA at Alabama Flow,709.0
2017-06-14 03:39:53,Southern Owens Valley,Cottonwood Ck. At LAA Flow,134.0
2017-06-14 03:39:53,Southern Owens Valley,LAA at Cottonwood Flow,835.0
2017-06-14 03:39:53,Southern Owens Valley,Haiwee LAA #1 Current Flow,398.8
2017-06-14 03:39:53,Southern Owens Valley,Haiwee LAA #2 Current Flow,276.2
2017-06-14 03:39:53,Southern Owens Valley,Reinhackel Flow,2.9
2017-06-14 03:39:53,Southern Owens Valley,Lubkin Spillgate Outflow,41.8
2017-06-14 03:39:53,Southern Owens Valley,Cartago Spillgate Outflow,96.8
2017-06-14 03:39:53,Long Valley,East Portal Flow,12.0
2017-06-14 03:39:53,Long Valley,OR Below EP Flow,118.0
2017-06-14 03:39:53,Long Valley,Hot Ck.at Hwy. Flow,140.0
2017-06-14 03:39:53,Long Valley,McGee Ck. Lower Sta. Flow,98.3
2017-06-14 03:39:53,Long Valley,Long Valley Current Outflow,591.0
2017-06-14 03:39:53,Long Valley,Rock Ck. Div. Flow,78.2
2017-06-14 03:39:53,Long Valley,Upper Gorge at TRS,14.1
2017-06-14 03:39:53,Mono Basin,Lee Vining Intake Above Flow,261.4
2017-06-14 03:39:53,Mono Basin,Lee Vining Intake Below Flow,297.8
2017-06-14 03:39:53,Mono Basin,Walker Ck. Above Conduit Flow,27.0
2017-06-14 03:39:53,Mono Basin,L.V. Conduit Below Intake Flow,0.4
2017-06-14 03:39:53,Mono Basin,Walker Ck. Under Conduit Flow,23.0
2017-06-14 03:39:53,Mono Basin,Parker Ck. Under Conduit Flow,28.0
2017-06-14 03:39:53,Mono Basin,Parker Ck. Above Conduit Flow,30.0
2017-06-14 03:39:53,Mono Basin,Grant Lk. Spill Flow,198.0
2017-06-14 03:39:53,Mono Basin,Mono Gate 1 Return Ditch Flow,369.2
2017-06-14 03:39:53,Mono Basin,Grant Lk. Outflow,380.8
2017-06-14 03:39:53,Mono Basin,Rush Ck. at Damsite Flow,537.1
2017-06-14 03:39:53,Mono Basin,Flow to West Portal,0.0
2017-06-14 03:39:54,Southern District,S. Haiwee Reservoir Elevation,3728.1
2017-06-14 03:39:54,Southern District,Fairmont Reservoir Elevation,3027.6
2017-06-14 03:39:54,Southern District,Bouquet Reservoir Elevation,2985.2
2017-06-14 03:39:54,Northern Owens Valley,Pleasant Valley Elevation,4395.9
2017-06-14 03:39:54,Southern Owens Valley,LAA at Alabama Level,10.1
2017-06-14 03:39:54,Southern Owens Valley,LAA at Alabama Water Temp,63.2
2017-06-14 03:39:54,Southern Owens Valley,LAA at Cottonwood Level,11.4
2017-06-14 03:39:54,Southern Owens Valley,LAA at Cotton. Water Temp,61.4
2017-06-14 03:39:54,Southern Owens Valley,N. Haiwee Elevation,3756.7
2017-06-14 03:39:54,Southern Owens Valley,S. Haiwee Reservoir Elevation,3728.1
2017-06-14 03:39:54,Long Valley,Long Valley Elevation,6760.7
2017-06-14 03:39:54,Mono Basin,Mono Lk. Elevation,6378.7
2017-06-14 03:39:54,Mono Basin,Grant Lk. Elevation,7131.2
2017-06-14 04:39:53,Southern District,Haiwee LAA #2 Current Flow,276.2
2017-06-14 04:39:53,Southern District,Haiwee LAA #1 Current Flow,398.8
2017-06-14 04:39:53,Southern District,LAA #1 Flow at Fairmont Reservoir,411.8
2017-06-14 04:39:53,Southern District,LAA #2 Flow at Fairmont Res.,284.3
2017-06-14 04:39:53,Southern District,Bouquet Reservoir Inflow,4.0
2017-06-14 04:39:53,Southern District,Bouquet Reservoir Outflow,0.3
2017-06-14 04:39:53,Southern District,LAA #1 at Soledad Flow,357.0
2017-06-14 04:39:53,Southern District,LAA #2 at Soledad Flow,268.8
2017-06-14 04:39:53,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,161.5
2017-06-14 04:39:53,Northern Owens Valley,Pleasant Valley Outflow,766.0
2017-06-14 04:39:53,Northern Owens Valley,Baker Ck. At LA Station Flow,15.4
2017-06-14 04:39:53,Northern Owens Valley,Big Pine Ck. USGS Flow,126.3
2017-06-14 04:39:53,Northern Owens Valley,O.R. Below Big Pine,943.6
2017-06-14 04:39:53,Northern Owens Valley,Fish Springs At RR Flow,38.4
2017-06-14 04:39:53,Northern Owens Valley,Tinemaha Reservoir Outflow,872.0
2017-06-14 04:39:53,Northern Owens Valley,Bishop Creek Through Plant 6,146.0
2017-06-14 04:39:53,Northern Owens Valley,Bishop Creek Around Plant 6,226.4
2017-06-14 04:39:53,Lower Owens River Project,LORP Intake Flow,249.0
2017-06-14 04:39:53,Lower Owens River Project,LORP at Mazourka Canyon Road,195.0
2017-06-14 04:39:53,Lower Owens River Project,LORP at Reinhackle Springs,85.0
2017-06-14 04:39:53,Lower Owens River Project,LORP Above Pumpstation,74.0
2017-06-14 04:39:53,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2017-06-14 04:39:53,Southern Owens Valley,Tinemaha Reservoir Outflow,872.0
2017-06-14 04:39:53,Southern Owens Valley,Indep. Ck. At Junction Flow,84.6
2017-06-14 04:39:53,Southern Owens Valley,LAA at Alabama Flow,709.0
2017-06-14 04:39:53,Southern Owens Valley,Cottonwood Ck. At LAA Flow,134.0
2017-06-14 04:39:53,Southern Owens Valley,LAA at Cottonwood Flow,838.0
2017-06-14 04:39:53,Southern Owens Valley,Haiwee LAA #1 Current Flow,398.8
2017-06-14 04:39:53,Southern Owens Valley,Haiwee LAA #2 Current Flow,276.2
2017-06-14 04:39:53,Southern Owens Valley,Reinhackel Flow,2.9
2017-06-14 04:39:53,Southern Owens Valley,Lubkin Spillgate Outflow,39.2
2017-06-14 04:39:53,Southern Owens Valley,Cartago Spillgate Outflow,93.3
2017-06-14 04:39:53,Long Valley,East Portal Flow,12.0
2017-06-14 04:39:53,Long Valley,OR Below EP Flow,118.0
2017-06-14 04:39:53,Long Valley,Hot Ck.at Hwy. Flow,140.0
2017-06-14 04:39:53,Long Valley,McGee Ck. Lower Sta. Flow,98.3
2017-06-14 04:39:53,Long Valley,Long Valley Current Outflow,591.0
2017-06-14 04:39:53,Long Valley,Rock Ck. Div. Flow,78.2
2017-06-14 04:39:53,Long Valley,Upper Gorge at TRS,14.3
2017-06-14 04:39:53,Mono Basin,Lee Vining Intake Above Flow,261.4
2017-06-14 04:39:53,Mono Basin,Lee Vining Intake Below Flow,297.8
2017-06-14 04:39:53,Mono Basin,Walker Ck. Above Conduit Flow,27.0
2017-06-14 04:39:53,Mono Basin,L.V. Conduit Below Intake Flow,0.4
2017-06-14 04:39:53,Mono Basin,Walker Ck. Under Conduit Flow,23.0
2017-06-14 04:39:53,Mono Basin,Parker Ck. Under Conduit Flow,28.0
2017-06-14 04:39:53,Mono Basin,Parker Ck. Above Conduit Flow,30.0
2017-06-14 04:39:53,Mono Basin,Grant Lk. Spill Flow,198.0
2017-06-14 04:39:53,Mono Basin,Mono Gate 1 Return Ditch Flow,370.2
2017-06-14 04:39:53,Mono Basin,Grant Lk. Outflow,380.4
2017-06-14 04:39:53,Mono Basin,Rush Ck. at Damsite Flow,537.1
2017-06-14 04:39:53,Mono Basin,Flow to West Portal,0.0
2017-06-14 04:39:54,Southern District,S. Haiwee Reservoir Elevation,3728.1
2017-06-14 04:39:54,Southern District,Fairmont Reservoir Elevation,3027.6
2017-06-14 04:39:54,Southern District,Bouquet Reservoir Elevation,2985.2
2017-06-14 04:39:54,Northern Owens Valley,Pleasant Valley Elevation,4395.9
2017-06-14 04:39:54,Southern Owens Valley,LAA at Alabama Level,10.1
2017-06-14 04:39:54,Southern Owens Valley,LAA at Alabama Water Temp,63.2
2017-06-14 04:39:54,Southern Owens Valley,LAA at Cottonwood Level,11.4
2017-06-14 04:39:54,Southern Owens Valley,LAA at Cotton. Water Temp,61.2
2017-06-14 04:39:54,Southern Owens Valley,N. Haiwee Elevation,3756.7
2017-06-14 04:39:54,Southern Owens Valley,S. Haiwee Reservoir Elevation,3728.1
2017-06-14 04:39:54,Long Valley,Long Valley Elevation,6760.7
2017-06-14 04:39:54,Mono Basin,Mono Lk. Elevation,6378.7
2017-06-14 04:39:54,Mono Basin,Grant Lk. Elevation,7131.2
2017-06-14 05:39:53,Southern District,Haiwee LAA #2 Current Flow,276.2
2017-06-14 05:39:53,Southern District,Haiwee LAA #1 Current Flow,398.8
2017-06-14 05:39:53,Southern District,LAA #1 Flow at Fairmont Reservoir,411.8
2017-06-14 05:39:53,Southern District,LAA #2 Flow at Fairmont Res.,284.3
2017-06-14 05:39:53,Southern District,Bouquet Reservoir Inflow,4.0
2017-06-14 05:39:53,Southern District,Bouquet Reservoir Outflow,0.3
2017-06-14 05:39:53,Southern District,LAA #1 at Soledad Flow,359.5
2017-06-14 05:39:53,Southern District,LAA #2 at Soledad Flow,268.8
2017-06-14 05:39:53,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,163.6
2017-06-14 05:39:53,Northern Owens Valley,Pleasant Valley Outflow,766.3
2017-06-14 05:39:53,Northern Owens Valley,Baker Ck. At LA Station Flow,15.4
2017-06-14 05:39:53,Northern Owens Valley,Big Pine Ck. USGS Flow,126.3
2017-06-14 05:39:53,Northern Owens Valley,O.R. Below Big Pine,946.8
2017-06-14 05:39:53,Northern Owens Valley,Fish Springs At RR Flow,38.5
2017-06-14 05:39:53,Northern Owens Valley,Tinemaha Reservoir Outflow,872.0
2017-06-14 05:39:53,Northern Owens Valley,Bishop Creek Through Plant 6,146.7
2017-06-14 05:39:53,Northern Owens Valley,Bishop Creek Around Plant 6,223.0
2017-06-14 05:39:53,Lower Owens River Project,LORP Intake Flow,249.0
2017-06-14 05:39:53,Lower Owens River Project,LORP at Mazourka Canyon Road,198.0
2017-06-14 05:39:53,Lower Owens River Project,LORP at Reinhackle Springs,84.0
2017-06-14 05:39:53,Lower Owens River Project,LORP Above Pumpstation,65.0
2017-06-14 05:39:53,Lower Owens River Project,LORP At Pump Station Discharge Flow,39.0
2017-06-14 05:39:53,Southern Owens Valley,Tinemaha Reservoir Outflow,872.0
2017-06-14 05:39:53,Southern Owens Valley,Indep. Ck. At Junction Flow,81.5
2017-06-14 05:39:53,Southern Owens Valley,LAA at Alabama Flow,709.0
2017-06-14 05:39:53,Southern Owens Valley,Cottonwood Ck. At LAA Flow,133.0
2017-06-14 05:39:53,Southern Owens Valley,LAA at Cottonwood Flow,840.0
2017-06-14 05:39:53,Southern Owens Valley,Haiwee LAA #1 Current Flow,398.8
2017-06-14 05:39:53,Southern Owens Valley,Haiwee LAA #2 Current Flow,276.2
2017-06-14 05:39:53,Southern Owens Valley,Reinhackel Flow,2.9
