date,district,source,value
2024-12-19 01:31:55,Southern Owens Valley,LAA at Alabama Flow,225.0
2024-12-19 01:31:55,Southern Owens Valley,Cottonwood Ck. At LAA Flow,5.0
2024-12-19 01:31:55,Southern Owens Valley,LAA at Cottonwood Flow,244.0
2024-12-19 01:31:55,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2024-12-19 01:31:55,Southern Owens Valley,Haiwee LAA #2 Current Flow,12.5
2024-12-19 01:31:55,Southern Owens Valley,Reinhackel Flow,2.1
2024-12-19 01:31:55,Southern Owens Valley,Lubkin Spillgate Outflow,4.4
2024-12-19 01:31:55,Southern Owens Valley,Cartago Spillgate Outflow,13.3
2024-12-19 01:31:55,Southern Owens Valley,Lone Pine Creek Flow,5.0
2024-12-19 01:31:55,Lower Owens River Project,LORP Intake Flow,45.0
2024-12-19 01:31:55,Lower Owens River Project,LORP at Mazourka Canyon Road,52.0
2024-12-19 01:31:55,Lower Owens River Project,LORP at Reinhackle Springs,48.0
2024-12-19 01:31:55,Lower Owens River Project,LORP Above Pumpstation,38.0
2024-12-19 01:31:55,Lower Owens River Project,LORP At Pump Station Discharge Flow,32.0
2024-12-19 01:31:55,Southern District,Haiwee LAA #2 Current Flow,12.5
2024-12-19 01:31:55,Southern District,Haiwee LAA #1 Current Flow,0.0
2024-12-19 01:31:55,Southern District,LAA #1 Flow at Fairmont Reservoir,6.3
2024-12-19 01:31:55,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2024-12-19 01:31:55,Southern District,Bouquet Reservoir Inflow,0.2
2024-12-19 01:31:55,Southern District,Bouquet Reservoir Outflow,0.7
2024-12-19 01:31:55,Southern District,LAA #1 at Soledad Flow,0.0
2024-12-19 01:31:55,Southern District,LAA #2 at Soledad Flow,0.0
2024-12-19 01:31:56,Mono Basin,Mono Lk. Elevation,6382.5
2024-12-19 01:31:56,Mono Basin,Grant Lk. Elevation,7120.4
2024-12-19 01:31:56,Long Valley,Long Valley Elevation,6766.0
2024-12-19 01:31:56,Northern Owens Valley,Pleasant Valley Elevation,4382.9
2024-12-19 01:31:56,Southern Owens Valley,LAA at Alabama Level,5.7
2024-12-19 01:31:56,Southern Owens Valley,LAA at Alabama Water Temp,44.5
2024-12-19 01:31:56,Southern Owens Valley,LAA at Cottonwood Level,6.3
2024-12-19 01:31:56,Southern Owens Valley,LAA at Cotton. Water Temp,44.7
2024-12-19 01:31:56,Southern Owens Valley,N. Haiwee Elevation,3756.9
2024-12-19 01:31:56,Southern Owens Valley,S. Haiwee Reservoir Elevation,3737.4
2024-12-19 01:31:56,Southern District,S. Haiwee Reservoir Elevation,3737.4
2024-12-19 01:31:56,Southern District,Fairmont Reservoir Elevation,3015.2
2024-12-19 01:31:56,Southern District,Bouquet Reservoir Elevation,2987.0
2024-12-19 01:46:56,Northern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 01:46:56,Southern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 02:16:56,Northern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 02:16:56,Southern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 02:31:55,Mono Basin,Lee Vining Intake Above Flow,19.0
2024-12-19 02:31:55,Mono Basin,Lee Vining Intake Below Flow,18.2
2024-12-19 02:31:55,Mono Basin,Walker Ck. Above Conduit Flow,3.0
2024-12-19 02:31:55,Mono Basin,L.V. Conduit Below Intake Flow,2.3
2024-12-19 02:31:55,Mono Basin,Walker Ck. Under Conduit Flow,3.0
2024-12-19 02:31:55,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2024-12-19 02:31:55,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2024-12-19 02:31:55,Mono Basin,Grant Lk. Spill Flow,0.0
2024-12-19 02:31:55,Mono Basin,Mono Gate 1 Return Ditch Flow,26.2
2024-12-19 02:31:55,Mono Basin,Grant Lk. Outflow,63.8
2024-12-19 02:31:55,Mono Basin,Rush Ck. at Damsite Flow,9.6
2024-12-19 02:31:55,Mono Basin,Flow to West Portal,35.1
2024-12-19 02:31:55,Long Valley,East Portal Flow,49.0
2024-12-19 02:31:55,Long Valley,OR Below EP Flow,106.0
2024-12-19 02:31:55,Long Valley,Hot Ck.at Hwy. Flow,8.0
2024-12-19 02:31:55,Long Valley,McGee Ck. Lower Sta. Flow,9.6
2024-12-19 02:31:55,Long Valley,Long Valley Current Outflow,42.3
2024-12-19 02:31:55,Long Valley,Rock Ck. Div. Flow,0.9
2024-12-19 02:31:55,Long Valley,Upper Gorge Total Release,56.0
2024-12-19 02:31:55,Long Valley,Release at Middle Gorge,0.0
2024-12-19 02:31:55,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,45.2
2024-12-19 02:31:55,Northern Owens Valley,Pleasant Valley Outflow,122.2
2024-12-19 02:31:55,Northern Owens Valley,Baker Ck. At LA Station Flow,7.5
2024-12-19 02:31:55,Northern Owens Valley,Big Pine Ck. USGS Flow,14.1
2024-12-19 02:31:55,Northern Owens Valley,O.R. Below Big Pine,235.7
2024-12-19 02:31:55,Northern Owens Valley,Fish Springs At RR Flow,33.9
2024-12-19 02:31:55,Northern Owens Valley,Tinemaha Reservoir Outflow,203.6
2024-12-19 02:31:55,Northern Owens Valley,Bishop Creek Through Plant 6,52.9
2024-12-19 02:31:55,Northern Owens Valley,Bishop Creek Around Plant 6,6.2
2024-12-19 02:31:55,Southern Owens Valley,Tinemaha Reservoir Outflow,203.6
2024-12-19 02:31:55,Southern Owens Valley,Indep. Ck. At Junction Flow,2.8
2024-12-19 02:31:55,Southern Owens Valley,LAA at Alabama Flow,224.0
2024-12-19 02:31:55,Southern Owens Valley,Cottonwood Ck. At LAA Flow,6.0
2024-12-19 02:31:55,Southern Owens Valley,LAA at Cottonwood Flow,245.0
2024-12-19 02:31:55,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2024-12-19 02:31:55,Southern Owens Valley,Haiwee LAA #2 Current Flow,12.5
2024-12-19 02:31:55,Southern Owens Valley,Reinhackel Flow,2.1
2024-12-19 02:31:55,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2024-12-19 02:31:55,Southern Owens Valley,Cartago Spillgate Outflow,10.3
2024-12-19 02:31:55,Southern Owens Valley,Lone Pine Creek Flow,5.0
2024-12-19 02:31:55,Lower Owens River Project,LORP Intake Flow,45.0
2024-12-19 02:31:55,Lower Owens River Project,LORP at Mazourka Canyon Road,52.0
2024-12-19 02:31:55,Lower Owens River Project,LORP at Reinhackle Springs,47.0
2024-12-19 02:31:55,Lower Owens River Project,LORP Above Pumpstation,54.0
2024-12-19 02:31:55,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2024-12-19 02:31:55,Southern District,Haiwee LAA #2 Current Flow,12.5
2024-12-19 02:31:55,Southern District,Haiwee LAA #1 Current Flow,0.0
2024-12-19 02:31:55,Southern District,LAA #1 Flow at Fairmont Reservoir,6.3
2024-12-19 02:31:55,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2024-12-19 02:31:55,Southern District,Bouquet Reservoir Inflow,0.2
2024-12-19 02:31:55,Southern District,Bouquet Reservoir Outflow,0.7
2024-12-19 02:31:55,Southern District,LAA #1 at Soledad Flow,0.0
2024-12-19 02:31:55,Southern District,LAA #2 at Soledad Flow,0.0
2024-12-19 02:31:56,Mono Basin,Mono Lk. Elevation,6382.5
2024-12-19 02:31:56,Mono Basin,Grant Lk. Elevation,7120.4
2024-12-19 02:31:56,Long Valley,Long Valley Elevation,6765.9
2024-12-19 02:31:56,Northern Owens Valley,Pleasant Valley Elevation,4382.9
2024-12-19 02:31:56,Southern Owens Valley,LAA at Alabama Level,5.7
2024-12-19 02:31:56,Southern Owens Valley,LAA at Alabama Water Temp,44.0
2024-12-19 02:31:56,Southern Owens Valley,LAA at Cottonwood Level,6.3
2024-12-19 02:31:56,Southern Owens Valley,LAA at Cotton. Water Temp,45.1
2024-12-19 02:31:56,Southern Owens Valley,N. Haiwee Elevation,3756.9
2024-12-19 02:31:56,Southern Owens Valley,S. Haiwee Reservoir Elevation,3737.4
2024-12-19 02:31:56,Southern District,S. Haiwee Reservoir Elevation,3737.4
2024-12-19 02:31:56,Southern District,Fairmont Reservoir Elevation,3015.2
2024-12-19 02:31:56,Southern District,Bouquet Reservoir Elevation,2987.0
2024-12-19 02:46:56,Northern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 02:46:56,Southern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 03:16:56,Northern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 03:16:56,Southern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 03:31:55,Mono Basin,Lee Vining Intake Above Flow,19.0
2024-12-19 03:31:55,Mono Basin,Lee Vining Intake Below Flow,18.2
2024-12-19 03:31:55,Mono Basin,Walker Ck. Above Conduit Flow,3.0
2024-12-19 03:31:55,Mono Basin,L.V. Conduit Below Intake Flow,2.3
2024-12-19 03:31:55,Mono Basin,Walker Ck. Under Conduit Flow,3.0
2024-12-19 03:31:55,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2024-12-19 03:31:55,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2024-12-19 03:31:55,Mono Basin,Grant Lk. Spill Flow,0.0
2024-12-19 03:31:55,Mono Basin,Mono Gate 1 Return Ditch Flow,26.3
2024-12-19 03:31:55,Mono Basin,Grant Lk. Outflow,64.0
2024-12-19 03:31:55,Mono Basin,Rush Ck. at Damsite Flow,9.6
2024-12-19 03:31:55,Mono Basin,Flow to West Portal,35.1
2024-12-19 03:31:55,Long Valley,East Portal Flow,49.0
2024-12-19 03:31:55,Long Valley,OR Below EP Flow,106.0
2024-12-19 03:31:55,Long Valley,Hot Ck.at Hwy. Flow,8.0
2024-12-19 03:31:55,Long Valley,McGee Ck. Lower Sta. Flow,9.6
2024-12-19 03:31:55,Long Valley,Long Valley Current Outflow,42.3
2024-12-19 03:31:55,Long Valley,Rock Ck. Div. Flow,0.9
2024-12-19 03:31:55,Long Valley,Upper Gorge Total Release,56.3
2024-12-19 03:31:55,Long Valley,Release at Middle Gorge,0.0
2024-12-19 03:31:55,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,45.4
2024-12-19 03:31:55,Northern Owens Valley,Pleasant Valley Outflow,122.4
2024-12-19 03:31:55,Northern Owens Valley,Baker Ck. At LA Station Flow,7.4
2024-12-19 03:31:55,Northern Owens Valley,Big Pine Ck. USGS Flow,14.1
2024-12-19 03:31:55,Northern Owens Valley,O.R. Below Big Pine,235.7
2024-12-19 03:31:55,Northern Owens Valley,Fish Springs At RR Flow,33.9
2024-12-19 03:31:55,Northern Owens Valley,Tinemaha Reservoir Outflow,203.6
2024-12-19 03:31:55,Northern Owens Valley,Bishop Creek Through Plant 6,54.1
2024-12-19 03:31:55,Northern Owens Valley,Bishop Creek Around Plant 6,6.2
2024-12-19 03:31:55,Southern Owens Valley,Tinemaha Reservoir Outflow,203.6
2024-12-19 03:31:55,Southern Owens Valley,Indep. Ck. At Junction Flow,2.8
2024-12-19 03:31:55,Southern Owens Valley,LAA at Alabama Flow,224.0
2024-12-19 03:31:55,Southern Owens Valley,Cottonwood Ck. At LAA Flow,6.0
2024-12-19 03:31:55,Southern Owens Valley,LAA at Cottonwood Flow,245.0
2024-12-19 03:31:55,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2024-12-19 03:31:55,Southern Owens Valley,Haiwee LAA #2 Current Flow,12.5
2024-12-19 03:31:55,Southern Owens Valley,Reinhackel Flow,2.1
2024-12-19 03:31:55,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2024-12-19 03:31:55,Southern Owens Valley,Cartago Spillgate Outflow,13.4
2024-12-19 03:31:55,Southern Owens Valley,Lone Pine Creek Flow,5.0
2024-12-19 03:31:55,Lower Owens River Project,LORP Intake Flow,45.0
2024-12-19 03:31:55,Lower Owens River Project,LORP at Mazourka Canyon Road,52.0
2024-12-19 03:31:55,Lower Owens River Project,LORP at Reinhackle Springs,47.0
2024-12-19 03:31:55,Lower Owens River Project,LORP Above Pumpstation,54.0
2024-12-19 03:31:55,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2024-12-19 03:31:55,Southern District,Haiwee LAA #2 Current Flow,12.5
2024-12-19 03:31:55,Southern District,Haiwee LAA #1 Current Flow,0.0
2024-12-19 03:31:55,Southern District,LAA #1 Flow at Fairmont Reservoir,6.2
2024-12-19 03:31:55,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2024-12-19 03:31:55,Southern District,Bouquet Reservoir Inflow,0.2
2024-12-19 03:31:55,Southern District,Bouquet Reservoir Outflow,0.7
2024-12-19 03:31:55,Southern District,LAA #1 at Soledad Flow,0.0
2024-12-19 03:31:55,Southern District,LAA #2 at Soledad Flow,0.0
2024-12-19 03:31:56,Mono Basin,Mono Lk. Elevation,6382.5
2024-12-19 03:31:56,Mono Basin,Grant Lk. Elevation,7120.4
2024-12-19 03:31:56,Long Valley,Long Valley Elevation,6766.0
2024-12-19 03:31:56,Northern Owens Valley,Pleasant Valley Elevation,4382.9
2024-12-19 03:31:56,Southern Owens Valley,LAA at Alabama Level,5.7
2024-12-19 03:31:56,Southern Owens Valley,LAA at Alabama Water Temp,43.9
2024-12-19 03:31:56,Southern Owens Valley,LAA at Cottonwood Level,6.3
2024-12-19 03:31:56,Southern Owens Valley,LAA at Cotton. Water Temp,45.1
2024-12-19 03:31:56,Southern Owens Valley,N. Haiwee Elevation,3756.9
2024-12-19 03:31:56,Southern Owens Valley,S. Haiwee Reservoir Elevation,3737.4
2024-12-19 03:31:56,Southern District,S. Haiwee Reservoir Elevation,3737.4
2024-12-19 03:31:56,Southern District,Fairmont Reservoir Elevation,3015.2
2024-12-19 03:31:56,Southern District,Bouquet Reservoir Elevation,2987.0
2024-12-19 03:46:56,Northern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 03:46:56,Southern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 04:16:56,Northern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 04:16:56,Southern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 04:31:55,Mono Basin,Lee Vining Intake Above Flow,19.0
2024-12-19 04:31:55,Mono Basin,Lee Vining Intake Below Flow,18.2
2024-12-19 04:31:55,Mono Basin,Walker Ck. Above Conduit Flow,3.0
2024-12-19 04:31:55,Mono Basin,L.V. Conduit Below Intake Flow,2.3
2024-12-19 04:31:55,Mono Basin,Walker Ck. Under Conduit Flow,3.0
2024-12-19 04:31:55,Mono Basin,Parker Ck. Under Conduit Flow,4.0
2024-12-19 04:31:55,Mono Basin,Parker Ck. Above Conduit Flow,4.0
2024-12-19 04:31:55,Mono Basin,Grant Lk. Spill Flow,0.0
2024-12-19 04:31:55,Mono Basin,Mono Gate 1 Return Ditch Flow,26.2
2024-12-19 04:31:55,Mono Basin,Grant Lk. Outflow,63.8
2024-12-19 04:31:55,Mono Basin,Rush Ck. at Damsite Flow,9.6
2024-12-19 04:31:55,Mono Basin,Flow to West Portal,35.1
2024-12-19 04:31:55,Long Valley,East Portal Flow,49.0
2024-12-19 04:31:55,Long Valley,OR Below EP Flow,107.0
2024-12-19 04:31:55,Long Valley,Hot Ck.at Hwy. Flow,7.0
2024-12-19 04:31:55,Long Valley,McGee Ck. Lower Sta. Flow,9.6
2024-12-19 04:31:55,Long Valley,Long Valley Current Outflow,42.3
2024-12-19 04:31:55,Long Valley,Rock Ck. Div. Flow,1.0
2024-12-19 04:31:55,Long Valley,Upper Gorge Total Release,56.0
2024-12-19 04:31:55,Long Valley,Release at Middle Gorge,0.0
2024-12-19 04:31:55,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,45.4
2024-12-19 04:31:55,Northern Owens Valley,Pleasant Valley Outflow,122.3
2024-12-19 04:31:55,Northern Owens Valley,Baker Ck. At LA Station Flow,7.4
2024-12-19 04:31:55,Northern Owens Valley,Big Pine Ck. USGS Flow,14.1
2024-12-19 04:31:55,Northern Owens Valley,O.R. Below Big Pine,235.9
2024-12-19 04:31:55,Northern Owens Valley,Fish Springs At RR Flow,33.9
2024-12-19 04:31:55,Northern Owens Valley,Tinemaha Reservoir Outflow,203.6
2024-12-19 04:31:55,Northern Owens Valley,Bishop Creek Through Plant 6,54.1
2024-12-19 04:31:55,Northern Owens Valley,Bishop Creek Around Plant 6,6.2
2024-12-19 04:31:55,Southern Owens Valley,Tinemaha Reservoir Outflow,203.6
2024-12-19 04:31:55,Southern Owens Valley,Indep. Ck. At Junction Flow,2.8
2024-12-19 04:31:55,Southern Owens Valley,LAA at Alabama Flow,224.0
2024-12-19 04:31:55,Southern Owens Valley,Cottonwood Ck. At LAA Flow,6.0
2024-12-19 04:31:55,Southern Owens Valley,LAA at Cottonwood Flow,245.0
2024-12-19 04:31:55,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2024-12-19 04:31:55,Southern Owens Valley,Haiwee LAA #2 Current Flow,12.5
2024-12-19 04:31:55,Southern Owens Valley,Reinhackel Flow,2.1
2024-12-19 04:31:55,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2024-12-19 04:31:55,Southern Owens Valley,Cartago Spillgate Outflow,20.5
2024-12-19 04:31:55,Southern Owens Valley,Lone Pine Creek Flow,5.1
2024-12-19 04:31:55,Lower Owens River Project,LORP Intake Flow,45.0
2024-12-19 04:31:55,Lower Owens River Project,LORP at Mazourka Canyon Road,50.0
2024-12-19 04:31:55,Lower Owens River Project,LORP at Reinhackle Springs,48.0
2024-12-19 04:31:55,Lower Owens River Project,LORP Above Pumpstation,54.0
2024-12-19 04:31:55,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2024-12-19 04:31:55,Southern District,Haiwee LAA #2 Current Flow,12.5
2024-12-19 04:31:55,Southern District,Haiwee LAA #1 Current Flow,0.0
2024-12-19 04:31:55,Southern District,LAA #1 Flow at Fairmont Reservoir,6.3
2024-12-19 04:31:55,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2024-12-19 04:31:55,Southern District,Bouquet Reservoir Inflow,0.2
2024-12-19 04:31:55,Southern District,Bouquet Reservoir Outflow,0.7
2024-12-19 04:31:55,Southern District,LAA #1 at Soledad Flow,0.0
2024-12-19 04:31:55,Southern District,LAA #2 at Soledad Flow,0.0
2024-12-19 04:31:56,Mono Basin,Mono Lk. Elevation,6382.5
2024-12-19 04:31:56,Mono Basin,Grant Lk. Elevation,7120.5
2024-12-19 04:31:56,Long Valley,Long Valley Elevation,6766.0
2024-12-19 04:31:56,Northern Owens Valley,Pleasant Valley Elevation,4382.8
2024-12-19 04:31:56,Southern Owens Valley,LAA at Alabama Level,5.7
2024-12-19 04:31:56,Southern Owens Valley,LAA at Alabama Water Temp,43.4
2024-12-19 04:31:56,Southern Owens Valley,LAA at Cottonwood Level,6.3
2024-12-19 04:31:56,Southern Owens Valley,LAA at Cotton. Water Temp,45.0
2024-12-19 04:31:56,Southern Owens Valley,N. Haiwee Elevation,3756.9
2024-12-19 04:31:56,Southern Owens Valley,S. Haiwee Reservoir Elevation,3737.4
2024-12-19 04:31:56,Southern District,S. Haiwee Reservoir Elevation,3737.4
2024-12-19 04:31:56,Southern District,Fairmont Reservoir Elevation,3015.2
2024-12-19 04:31:56,Southern District,Bouquet Reservoir Elevation,2987.0
2024-12-19 04:46:56,Northern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 04:46:56,Southern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 05:16:56,Northern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 05:16:56,Southern Owens Valley,Tinemaha Elevation,3864.1
2024-12-19 05:31:55,Mono Basin,Lee Vining Intake Above Flow,19.0
2024-12-19 05:31:55,Mono Basin,Lee Vining Intake Below Flow,18.2
2024-12-19 05:31:55,Mono Basin,Walker Ck. Above Conduit Flow,3.0
2024-12-19 05:31:55,Mono Basin,L.V. Conduit Below Intake Flow,2.3
