date,district,source,value
2024-04-22 02:34:37,Northern Owens Valley,Big Pine Ck. USGS Flow,33.5
2024-04-22 02:34:37,Northern Owens Valley,O.R. Below Big Pine,234.5
2024-04-22 02:34:37,Northern Owens Valley,Fish Springs At RR Flow,39.5
2024-04-22 02:34:37,Northern Owens Valley,Tinemaha Reservoir Outflow,228.9
2024-04-22 02:34:37,Northern Owens Valley,Bishop Creek Through Plant 6,104.6
2024-04-22 02:34:37,Northern Owens Valley,Bishop Creek Around Plant 6,93.9
2024-04-22 02:34:37,Southern Owens Valley,Tinemaha Reservoir Outflow,228.9
2024-04-22 02:34:37,Southern Owens Valley,Indep. Ck. At Junction Flow,13.1
2024-04-22 02:34:37,Southern Owens Valley,LAA at Alabama Flow,254.0
2024-04-22 02:34:37,Southern Owens Valley,Cottonwood Ck. At LAA Flow,52.0
2024-04-22 02:34:37,Southern Owens Valley,LAA at Cottonwood Flow,296.0
2024-04-22 02:34:37,Southern Owens Valley,Haiwee LAA #1 Current Flow,183.6
2024-04-22 02:34:37,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2024-04-22 02:34:37,Southern Owens Valley,Reinhackel Flow,1.8
2024-04-22 02:34:37,Southern Owens Valley,Lubkin Spillgate Outflow,17.7
2024-04-22 02:34:37,Southern Owens Valley,Cartago Spillgate Outflow,50.6
2024-04-22 02:34:37,Southern Owens Valley,Lone Pine Creek Flow,11.9
2024-04-22 02:34:37,Lower Owens River Project,LORP Intake Flow,43.0
2024-04-22 02:34:37,Lower Owens River Project,LORP at Mazourka Canyon Road,103.0
2024-04-22 02:34:37,Lower Owens River Project,LORP at Reinhackle Springs,126.0
2024-04-22 02:34:37,Lower Owens River Project,LORP Above Pumpstation,123.0
2024-04-22 02:34:37,Lower Owens River Project,LORP At Pump Station Discharge Flow,47.0
2024-04-22 02:34:37,Southern District,Haiwee LAA #2 Current Flow,0.0
2024-04-22 02:34:37,Southern District,Haiwee LAA #1 Current Flow,183.6
2024-04-22 02:34:37,Southern District,LAA #1 Flow at Fairmont Reservoir,177.6
2024-04-22 02:34:37,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2024-04-22 02:34:37,Southern District,Bouquet Reservoir Inflow,0.2
2024-04-22 02:34:37,Southern District,Bouquet Reservoir Outflow,222.8
2024-04-22 02:34:37,Southern District,LAA #1 at Soledad Flow,233.2
2024-04-22 02:34:37,Southern District,LAA #2 at Soledad Flow,145.2
2024-04-22 02:34:38,Mono Basin,Mono Lk. Elevation,6383.3
2024-04-22 02:34:38,Mono Basin,Grant Lk. Elevation,7129.8
2024-04-22 02:34:38,Long Valley,Long Valley Elevation,6780.8
2024-04-22 02:34:38,Northern Owens Valley,Pleasant Valley Elevation,4386.9
2024-04-22 02:34:38,Southern Owens Valley,LAA at Alabama Level,6.3
2024-04-22 02:34:38,Southern Owens Valley,LAA at Alabama Water Temp,64.3
2024-04-22 02:34:38,Southern Owens Valley,LAA at Cottonwood Level,6.7
2024-04-22 02:34:38,Southern Owens Valley,LAA at Cotton. Water Temp,62.7
2024-04-22 02:34:38,Southern Owens Valley,N. Haiwee Elevation,3756.4
2024-04-22 02:34:38,Southern Owens Valley,S. Haiwee Reservoir Elevation,3727.1
2024-04-22 02:34:38,Southern District,S. Haiwee Reservoir Elevation,3727.1
2024-04-22 02:34:38,Southern District,Fairmont Reservoir Elevation,3023.4
2024-04-22 02:34:38,Southern District,Bouquet Reservoir Elevation,2969.9
2024-04-22 02:49:38,Northern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 02:49:38,Southern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 03:19:38,Northern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 03:19:38,Southern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 03:34:37,Mono Basin,Lee Vining Intake Above Flow,82.6
2024-04-22 03:34:37,Mono Basin,Lee Vining Intake Below Flow,61.0
2024-04-22 03:34:37,Mono Basin,Walker Ck. Above Conduit Flow,7.0
2024-04-22 03:34:37,Mono Basin,L.V. Conduit Below Intake Flow,12.1
2024-04-22 03:34:37,Mono Basin,Walker Ck. Under Conduit Flow,8.0
2024-04-22 03:34:37,Mono Basin,Parker Ck. Under Conduit Flow,11.0
2024-04-22 03:34:37,Mono Basin,Parker Ck. Above Conduit Flow,12.0
2024-04-22 03:34:37,Mono Basin,Grant Lk. Spill Flow,0.0
2024-04-22 03:34:37,Mono Basin,Mono Gate 1 Return Ditch Flow,44.1
2024-04-22 03:34:37,Mono Basin,Grant Lk. Outflow,42.6
2024-04-22 03:34:37,Mono Basin,Rush Ck. at Damsite Flow,44.6
2024-04-22 03:34:37,Mono Basin,Flow to West Portal,0.0
2024-04-22 03:34:37,Long Valley,East Portal Flow,13.0
2024-04-22 03:34:37,Long Valley,OR Below EP Flow,79.0
2024-04-22 03:34:37,Long Valley,Hot Ck.at Hwy. Flow,24.0
2024-04-22 03:34:37,Long Valley,McGee Ck. Lower Sta. Flow,22.1
2024-04-22 03:34:37,Long Valley,Long Valley Current Outflow,67.7
2024-04-22 03:34:37,Long Valley,Rock Ck. Div. Flow,0.4
2024-04-22 03:34:37,Long Valley,Upper Gorge Total Release,75.1
2024-04-22 03:34:37,Long Valley,Release at Middle Gorge,0.0
2024-04-22 03:34:37,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,44.7
2024-04-22 03:34:37,Northern Owens Valley,Pleasant Valley Outflow,174.2
2024-04-22 03:34:37,Northern Owens Valley,Baker Ck. At LA Station Flow,28.2
2024-04-22 03:34:37,Northern Owens Valley,Big Pine Ck. USGS Flow,33.5
2024-04-22 03:34:37,Northern Owens Valley,O.R. Below Big Pine,235.7
2024-04-22 03:34:37,Northern Owens Valley,Fish Springs At RR Flow,39.5
2024-04-22 03:34:37,Northern Owens Valley,Tinemaha Reservoir Outflow,229.5
2024-04-22 03:34:37,Northern Owens Valley,Bishop Creek Through Plant 6,106.7
2024-04-22 03:34:37,Northern Owens Valley,Bishop Creek Around Plant 6,89.5
2024-04-22 03:34:37,Southern Owens Valley,Tinemaha Reservoir Outflow,229.5
2024-04-22 03:34:37,Southern Owens Valley,Indep. Ck. At Junction Flow,13.1
2024-04-22 03:34:37,Southern Owens Valley,LAA at Alabama Flow,255.0
2024-04-22 03:34:37,Southern Owens Valley,Cottonwood Ck. At LAA Flow,51.0
2024-04-22 03:34:37,Southern Owens Valley,LAA at Cottonwood Flow,296.0
2024-04-22 03:34:37,Southern Owens Valley,Haiwee LAA #1 Current Flow,183.6
2024-04-22 03:34:37,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2024-04-22 03:34:37,Southern Owens Valley,Reinhackel Flow,1.8
2024-04-22 03:34:37,Southern Owens Valley,Lubkin Spillgate Outflow,16.5
2024-04-22 03:34:37,Southern Owens Valley,Cartago Spillgate Outflow,45.2
2024-04-22 03:34:37,Southern Owens Valley,Lone Pine Creek Flow,11.9
2024-04-22 03:34:37,Lower Owens River Project,LORP Intake Flow,43.0
2024-04-22 03:34:37,Lower Owens River Project,LORP at Mazourka Canyon Road,100.0
2024-04-22 03:34:37,Lower Owens River Project,LORP at Reinhackle Springs,128.0
2024-04-22 03:34:37,Lower Owens River Project,LORP Above Pumpstation,126.0
2024-04-22 03:34:37,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2024-04-22 03:34:37,Southern District,Haiwee LAA #2 Current Flow,0.0
2024-04-22 03:34:37,Southern District,Haiwee LAA #1 Current Flow,183.6
2024-04-22 03:34:37,Southern District,LAA #1 Flow at Fairmont Reservoir,177.6
2024-04-22 03:34:37,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2024-04-22 03:34:37,Southern District,Bouquet Reservoir Inflow,0.2
2024-04-22 03:34:37,Southern District,Bouquet Reservoir Outflow,227.5
2024-04-22 03:34:37,Southern District,LAA #1 at Soledad Flow,233.2
2024-04-22 03:34:37,Southern District,LAA #2 at Soledad Flow,146.5
2024-04-22 03:34:38,Mono Basin,Mono Lk. Elevation,6383.3
2024-04-22 03:34:38,Mono Basin,Grant Lk. Elevation,7129.8
2024-04-22 03:34:38,Long Valley,Long Valley Elevation,6780.8
2024-04-22 03:34:38,Northern Owens Valley,Pleasant Valley Elevation,4386.8
2024-04-22 03:34:38,Southern Owens Valley,LAA at Alabama Level,6.3
2024-04-22 03:34:38,Southern Owens Valley,LAA at Alabama Water Temp,63.6
2024-04-22 03:34:38,Southern Owens Valley,LAA at Cottonwood Level,6.7
2024-04-22 03:34:38,Southern Owens Valley,LAA at Cotton. Water Temp,62.8
2024-04-22 03:34:38,Southern Owens Valley,N. Haiwee Elevation,3756.4
2024-04-22 03:34:38,Southern Owens Valley,S. Haiwee Reservoir Elevation,3727.1
2024-04-22 03:34:38,Southern District,S. Haiwee Reservoir Elevation,3727.1
2024-04-22 03:34:38,Southern District,Fairmont Reservoir Elevation,3023.4
2024-04-22 03:34:38,Southern District,Bouquet Reservoir Elevation,2969.8
2024-04-22 03:49:38,Northern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 03:49:38,Southern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 04:19:38,Northern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 04:19:38,Southern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 04:34:37,Mono Basin,Lee Vining Intake Above Flow,82.6
2024-04-22 04:34:37,Mono Basin,Lee Vining Intake Below Flow,61.0
2024-04-22 04:34:37,Mono Basin,Walker Ck. Above Conduit Flow,7.0
2024-04-22 04:34:37,Mono Basin,L.V. Conduit Below Intake Flow,12.1
2024-04-22 04:34:37,Mono Basin,Walker Ck. Under Conduit Flow,8.0
2024-04-22 04:34:37,Mono Basin,Parker Ck. Under Conduit Flow,11.0
2024-04-22 04:34:37,Mono Basin,Parker Ck. Above Conduit Flow,12.0
2024-04-22 04:34:37,Mono Basin,Grant Lk. Spill Flow,0.0
2024-04-22 04:34:37,Mono Basin,Mono Gate 1 Return Ditch Flow,44.0
2024-04-22 04:34:37,Mono Basin,Grant Lk. Outflow,42.4
2024-04-22 04:34:37,Mono Basin,Rush Ck. at Damsite Flow,44.6
2024-04-22 04:34:37,Mono Basin,Flow to West Portal,0.0
2024-04-22 04:34:37,Long Valley,East Portal Flow,13.0
2024-04-22 04:34:37,Long Valley,OR Below EP Flow,79.0
2024-04-22 04:34:37,Long Valley,Hot Ck.at Hwy. Flow,24.0
2024-04-22 04:34:37,Long Valley,McGee Ck. Lower Sta. Flow,22.1
2024-04-22 04:34:37,Long Valley,Long Valley Current Outflow,64.4
2024-04-22 04:34:37,Long Valley,Rock Ck. Div. Flow,0.3
2024-04-22 04:34:37,Long Valley,Upper Gorge Total Release,75.2
2024-04-22 04:34:37,Long Valley,Release at Middle Gorge,0.0
2024-04-22 04:34:37,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,44.7
2024-04-22 04:34:37,Northern Owens Valley,Pleasant Valley Outflow,174.2
2024-04-22 04:34:37,Northern Owens Valley,Baker Ck. At LA Station Flow,26.7
2024-04-22 04:34:37,Northern Owens Valley,Big Pine Ck. USGS Flow,33.5
2024-04-22 04:34:37,Northern Owens Valley,O.R. Below Big Pine,237.8
2024-04-22 04:34:37,Northern Owens Valley,Fish Springs At RR Flow,39.6
2024-04-22 04:34:37,Northern Owens Valley,Tinemaha Reservoir Outflow,229.5
2024-04-22 04:34:37,Northern Owens Valley,Bishop Creek Through Plant 6,104.2
2024-04-22 04:34:37,Northern Owens Valley,Bishop Creek Around Plant 6,88.4
2024-04-22 04:34:37,Southern Owens Valley,Tinemaha Reservoir Outflow,229.5
2024-04-22 04:34:37,Southern Owens Valley,Indep. Ck. At Junction Flow,13.1
2024-04-22 04:34:37,Southern Owens Valley,LAA at Alabama Flow,256.0
2024-04-22 04:34:37,Southern Owens Valley,Cottonwood Ck. At LAA Flow,50.0
2024-04-22 04:34:37,Southern Owens Valley,LAA at Cottonwood Flow,295.0
2024-04-22 04:34:37,Southern Owens Valley,Haiwee LAA #1 Current Flow,183.6
2024-04-22 04:34:37,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2024-04-22 04:34:37,Southern Owens Valley,Reinhackel Flow,1.8
2024-04-22 04:34:37,Southern Owens Valley,Lubkin Spillgate Outflow,23.4
2024-04-22 04:34:37,Southern Owens Valley,Cartago Spillgate Outflow,48.1
2024-04-22 04:34:37,Southern Owens Valley,Lone Pine Creek Flow,12.0
2024-04-22 04:34:37,Lower Owens River Project,LORP Intake Flow,43.0
2024-04-22 04:34:37,Lower Owens River Project,LORP at Mazourka Canyon Road,95.0
2024-04-22 04:34:37,Lower Owens River Project,LORP at Reinhackle Springs,129.0
2024-04-22 04:34:37,Lower Owens River Project,LORP Above Pumpstation,123.0
2024-04-22 04:34:37,Lower Owens River Project,LORP At Pump Station Discharge Flow,45.0
2024-04-22 04:34:37,Southern District,Haiwee LAA #2 Current Flow,0.0
2024-04-22 04:34:37,Southern District,Haiwee LAA #1 Current Flow,183.6
2024-04-22 04:34:37,Southern District,LAA #1 Flow at Fairmont Reservoir,177.3
2024-04-22 04:34:37,Southern District,LAA #2 Flow at Fairmont Res.,0.0
2024-04-22 04:34:37,Southern District,Bouquet Reservoir Inflow,0.2
2024-04-22 04:34:37,Southern District,Bouquet Reservoir Outflow,227.6
2024-04-22 04:34:37,Southern District,LAA #1 at Soledad Flow,239.2
2024-04-22 04:34:37,Southern District,LAA #2 at Soledad Flow,146.5
2024-04-22 04:34:38,Mono Basin,Mono Lk. Elevation,6383.3
2024-04-22 04:34:38,Mono Basin,Grant Lk. Elevation,7129.8
2024-04-22 04:34:38,Long Valley,Long Valley Elevation,6780.8
2024-04-22 04:34:38,Northern Owens Valley,Pleasant Valley Elevation,4386.8
2024-04-22 04:34:38,Southern Owens Valley,LAA at Alabama Level,6.3
2024-04-22 04:34:38,Southern Owens Valley,LAA at Alabama Water Temp,62.9
2024-04-22 04:34:38,Southern Owens Valley,LAA at Cottonwood Level,6.7
2024-04-22 04:34:38,Southern Owens Valley,LAA at Cotton. Water Temp,62.8
2024-04-22 04:34:38,Southern Owens Valley,N. Haiwee Elevation,3756.4
2024-04-22 04:34:38,Southern Owens Valley,S. Haiwee Reservoir Elevation,3727.1
2024-04-22 04:34:38,Southern District,S. Haiwee Reservoir Elevation,3727.1
2024-04-22 04:34:38,Southern District,Fairmont Reservoir Elevation,3023.4
2024-04-22 04:34:38,Southern District,Bouquet Reservoir Elevation,2969.8
2024-04-22 04:49:38,Northern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 04:49:38,Southern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 05:19:38,Northern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 05:19:38,Southern Owens Valley,Tinemaha Elevation,3865.8
2024-04-22 05:34:37,Mono Basin,Lee Vining Intake Above Flow,82.6
2024-04-22 05:34:37,Mono Basin,Lee Vining Intake Below Flow,61.0
2024-04-22 05:34:37,Mono Basin,Walker Ck. Above Conduit Flow,7.0
2024-04-22 05:34:37,Mono Basin,L.V. Conduit Below Intake Flow,12.1
2024-04-22 05:34:37,Mono Basin,Walker Ck. Under Conduit Flow,8.0
2024-04-22 05:34:37,Mono Basin,Parker Ck. Under Conduit Flow,11.0
2024-04-22 05:34:37,Mono Basin,Parker Ck. Above Conduit Flow,12.0
2024-04-22 05:34:37,Mono Basin,Grant Lk. Spill Flow,0.0
