date,district,source,value
2018-10-02 02:31:17,Southern Owens Valley,LAA at Cotton. Water Temp,65.2
2018-10-02 02:31:17,Southern Owens Valley,N. Haiwee Elevation,3757.0
2018-10-02 02:31:17,Southern Owens Valley,S. Haiwee Reservoir Elevation,3748.1
2018-10-02 02:31:17,Long Valley,Long Valley Elevation,6767.8
2018-10-02 02:31:17,Mono Basin,Mono Lk. Elevation,6381.2
2018-10-02 02:31:17,Mono Basin,Grant Lk. Elevation,7120.5
2018-10-02 02:31:17,Southern District,S. Haiwee Reservoir Elevation,3748.1
2018-10-02 02:31:17,Southern District,Fairmont Reservoir Elevation,3026.5
2018-10-02 02:31:17,Southern District,Bouquet Reservoir Elevation,2962.7
2018-10-02 02:31:17,Northern Owens Valley,Pleasant Valley Elevation,4389.3
2018-10-02 03:31:16,Southern Owens Valley,Tinemaha Reservoir Outflow,505.8
2018-10-02 03:31:16,Southern Owens Valley,Indep. Ck. At Junction Flow,5.6
2018-10-02 03:31:16,Southern Owens Valley,LAA at Alabama Flow,543.0
2018-10-02 03:31:16,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2018-10-02 03:31:16,Southern Owens Valley,LAA at Cottonwood Flow,508.0
2018-10-02 03:31:16,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2018-10-02 03:31:16,Southern Owens Valley,Haiwee LAA #2 Current Flow,270.1
2018-10-02 03:31:16,Southern Owens Valley,Reinhackel Flow,2.2
2018-10-02 03:31:16,Southern Owens Valley,Lubkin Spillgate Outflow,74.4
2018-10-02 03:31:16,Southern Owens Valley,Cartago Spillgate Outflow,90.3
2018-10-02 03:31:16,Lower Owens River Project,LORP Intake Flow,55.0
2018-10-02 03:31:16,Lower Owens River Project,LORP at Mazourka Canyon Road,57.0
2018-10-02 03:31:16,Lower Owens River Project,LORP at Reinhackle Springs,58.0
2018-10-02 03:31:16,Lower Owens River Project,LORP Above Pumpstation,39.0
2018-10-02 03:31:16,Lower Owens River Project,LORP At Pump Station Discharge Flow,35.0
2018-10-02 03:31:16,Long Valley,East Portal Flow,36.0
2018-10-02 03:31:16,Long Valley,OR Below EP Flow,111.0
2018-10-02 03:31:16,Long Valley,Hot Ck.at Hwy. Flow,8.0
2018-10-02 03:31:16,Long Valley,McGee Ck. Lower Sta. Flow,9.2
2018-10-02 03:31:16,Long Valley,Long Valley Current Outflow,527.9
2018-10-02 03:31:16,Long Valley,Rock Ck. Div. Flow,0.0
2018-10-02 03:31:16,Long Valley,Upper Gorge at TRS,14.0
2018-10-02 03:31:16,Mono Basin,Lee Vining Intake Above Flow,35.2
2018-10-02 03:31:16,Mono Basin,Lee Vining Intake Below Flow,29.6
2018-10-02 03:31:16,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2018-10-02 03:31:16,Mono Basin,L.V. Conduit Below Intake Flow,3.4
2018-10-02 03:31:16,Mono Basin,Walker Ck. Under Conduit Flow,3.0
2018-10-02 03:31:16,Mono Basin,Parker Ck. Under Conduit Flow,3.0
2018-10-02 03:31:16,Mono Basin,Parker Ck. Above Conduit Flow,5.0
2018-10-02 03:31:16,Mono Basin,Grant Lk. Spill Flow,0.0
2018-10-02 03:31:16,Mono Basin,Mono Gate 1 Return Ditch Flow,40.2
2018-10-02 03:31:16,Mono Basin,Grant Lk. Outflow,70.1
2018-10-02 03:31:16,Mono Basin,Rush Ck. at Damsite Flow,20.6
2018-10-02 03:31:16,Mono Basin,Flow to West Portal,22.2
2018-10-02 03:31:16,Southern District,Haiwee LAA #2 Current Flow,270.1
2018-10-02 03:31:16,Southern District,Haiwee LAA #1 Current Flow,0.0
2018-10-02 03:31:16,Southern District,LAA #1 Flow at Fairmont Reservoir,38.7
2018-10-02 03:31:16,Southern District,LAA #2 Flow at Fairmont Res.,280.7
2018-10-02 03:31:16,Southern District,Bouquet Reservoir Inflow,0.2
2018-10-02 03:31:16,Southern District,Bouquet Reservoir Outflow,0.5
2018-10-02 03:31:16,Southern District,LAA #1 at Soledad Flow,336.9
2018-10-02 03:31:16,Southern District,LAA #2 at Soledad Flow,0.0
2018-10-02 03:31:16,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,41.1
2018-10-02 03:31:16,Northern Owens Valley,Pleasant Valley Outflow,586.7
2018-10-02 03:31:16,Northern Owens Valley,Baker Ck. At LA Station Flow,4.7
2018-10-02 03:31:16,Northern Owens Valley,Big Pine Ck. USGS Flow,17.6
2018-10-02 03:31:16,Northern Owens Valley,O.R. Below Big Pine,586.5
2018-10-02 03:31:16,Northern Owens Valley,Fish Springs At RR Flow,43.2
2018-10-02 03:31:16,Northern Owens Valley,Tinemaha Reservoir Outflow,505.8
2018-10-02 03:31:16,Northern Owens Valley,Bishop Creek Through Plant 6,65.3
2018-10-02 03:31:16,Northern Owens Valley,Bishop Creek Around Plant 6,8.6
2018-10-02 03:31:17,Southern Owens Valley,LAA at Alabama Level,8.7
2018-10-02 03:31:17,Southern Owens Valley,LAA at Alabama Water Temp,64.1
2018-10-02 03:31:17,Southern Owens Valley,LAA at Cottonwood Level,8.8
2018-10-02 03:31:17,Southern Owens Valley,LAA at Cotton. Water Temp,65.3
2018-10-02 03:31:17,Southern Owens Valley,N. Haiwee Elevation,3757.0
2018-10-02 03:31:17,Southern Owens Valley,S. Haiwee Reservoir Elevation,3748.1
2018-10-02 03:31:17,Long Valley,Long Valley Elevation,6767.8
2018-10-02 03:31:17,Mono Basin,Mono Lk. Elevation,6381.2
2018-10-02 03:31:17,Mono Basin,Grant Lk. Elevation,7120.5
2018-10-02 03:31:17,Southern District,S. Haiwee Reservoir Elevation,3748.1
2018-10-02 03:31:17,Southern District,Fairmont Reservoir Elevation,3026.5
2018-10-02 03:31:17,Southern District,Bouquet Reservoir Elevation,2962.7
2018-10-02 03:31:17,Northern Owens Valley,Pleasant Valley Elevation,4389.3
2018-10-02 04:31:16,Southern Owens Valley,Tinemaha Reservoir Outflow,505.8
2018-10-02 04:31:16,Southern Owens Valley,Indep. Ck. At Junction Flow,5.6
2018-10-02 04:31:16,Southern Owens Valley,LAA at Alabama Flow,543.0
2018-10-02 04:31:16,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2018-10-02 04:31:16,Southern Owens Valley,LAA at Cottonwood Flow,508.0
2018-10-02 04:31:16,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2018-10-02 04:31:16,Southern Owens Valley,Haiwee LAA #2 Current Flow,270.1
2018-10-02 04:31:16,Southern Owens Valley,Reinhackel Flow,2.2
2018-10-02 04:31:16,Southern Owens Valley,Lubkin Spillgate Outflow,54.8
2018-10-02 04:31:16,Southern Owens Valley,Cartago Spillgate Outflow,96.0
2018-10-02 04:31:16,Lower Owens River Project,LORP Intake Flow,55.0
2018-10-02 04:31:16,Lower Owens River Project,LORP at Mazourka Canyon Road,55.0
2018-10-02 04:31:16,Lower Owens River Project,LORP at Reinhackle Springs,57.0
2018-10-02 04:31:16,Lower Owens River Project,LORP Above Pumpstation,52.0
2018-10-02 04:31:16,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2018-10-02 04:31:16,Long Valley,East Portal Flow,36.0
2018-10-02 04:31:16,Long Valley,OR Below EP Flow,111.0
2018-10-02 04:31:16,Long Valley,Hot Ck.at Hwy. Flow,8.0
2018-10-02 04:31:16,Long Valley,McGee Ck. Lower Sta. Flow,9.2
2018-10-02 04:31:16,Long Valley,Long Valley Current Outflow,527.9
2018-10-02 04:31:16,Long Valley,Rock Ck. Div. Flow,0.0
2018-10-02 04:31:16,Long Valley,Upper Gorge at TRS,14.0
2018-10-02 04:31:16,Mono Basin,Lee Vining Intake Above Flow,34.2
2018-10-02 04:31:16,Mono Basin,Lee Vining Intake Below Flow,29.6
2018-10-02 04:31:16,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2018-10-02 04:31:16,Mono Basin,L.V. Conduit Below Intake Flow,3.3
2018-10-02 04:31:16,Mono Basin,Walker Ck. Under Conduit Flow,3.0
2018-10-02 04:31:16,Mono Basin,Parker Ck. Under Conduit Flow,3.0
2018-10-02 04:31:16,Mono Basin,Parker Ck. Above Conduit Flow,5.0
2018-10-02 04:31:16,Mono Basin,Grant Lk. Spill Flow,0.0
2018-10-02 04:31:16,Mono Basin,Mono Gate 1 Return Ditch Flow,40.2
2018-10-02 04:31:16,Mono Basin,Grant Lk. Outflow,70.9
2018-10-02 04:31:16,Mono Basin,Rush Ck. at Damsite Flow,20.6
2018-10-02 04:31:16,Mono Basin,Flow to West Portal,22.2
2018-10-02 04:31:16,Southern District,Haiwee LAA #2 Current Flow,270.1
2018-10-02 04:31:16,Southern District,Haiwee LAA #1 Current Flow,0.0
2018-10-02 04:31:16,Southern District,LAA #1 Flow at Fairmont Reservoir,43.8
2018-10-02 04:31:16,Southern District,LAA #2 Flow at Fairmont Res.,280.4
2018-10-02 04:31:16,Southern District,Bouquet Reservoir Inflow,0.2
2018-10-02 04:31:16,Southern District,Bouquet Reservoir Outflow,0.5
2018-10-02 04:31:16,Southern District,LAA #1 at Soledad Flow,336.9
2018-10-02 04:31:16,Southern District,LAA #2 at Soledad Flow,0.0
2018-10-02 04:31:16,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,41.5
2018-10-02 04:31:16,Northern Owens Valley,Pleasant Valley Outflow,579.5
2018-10-02 04:31:16,Northern Owens Valley,Baker Ck. At LA Station Flow,4.7
2018-10-02 04:31:16,Northern Owens Valley,Big Pine Ck. USGS Flow,17.6
2018-10-02 04:31:16,Northern Owens Valley,O.R. Below Big Pine,588.5
2018-10-02 04:31:16,Northern Owens Valley,Fish Springs At RR Flow,43.2
2018-10-02 04:31:16,Northern Owens Valley,Tinemaha Reservoir Outflow,505.8
2018-10-02 04:31:16,Northern Owens Valley,Bishop Creek Through Plant 6,65.5
2018-10-02 04:31:16,Northern Owens Valley,Bishop Creek Around Plant 6,8.6
2018-10-02 04:31:17,Southern Owens Valley,LAA at Alabama Level,8.7
2018-10-02 04:31:17,Southern Owens Valley,LAA at Alabama Water Temp,64.1
2018-10-02 04:31:17,Southern Owens Valley,LAA at Cottonwood Level,8.8
2018-10-02 04:31:17,Southern Owens Valley,LAA at Cotton. Water Temp,65.3
2018-10-02 04:31:17,Southern Owens Valley,N. Haiwee Elevation,3757.0
2018-10-02 04:31:17,Southern Owens Valley,S. Haiwee Reservoir Elevation,3748.1
2018-10-02 04:31:17,Long Valley,Long Valley Elevation,6767.8
2018-10-02 04:31:17,Mono Basin,Mono Lk. Elevation,6381.2
2018-10-02 04:31:17,Mono Basin,Grant Lk. Elevation,7120.5
2018-10-02 04:31:17,Southern District,S. Haiwee Reservoir Elevation,3748.1
2018-10-02 04:31:17,Southern District,Fairmont Reservoir Elevation,3026.4
2018-10-02 04:31:17,Southern District,Bouquet Reservoir Elevation,2962.7
2018-10-02 04:31:17,Northern Owens Valley,Pleasant Valley Elevation,4389.3
2018-10-02 05:31:16,Southern Owens Valley,Tinemaha Reservoir Outflow,505.8
2018-10-02 05:31:16,Southern Owens Valley,Indep. Ck. At Junction Flow,5.6
2018-10-02 05:31:16,Southern Owens Valley,LAA at Alabama Flow,543.0
2018-10-02 05:31:16,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2018-10-02 05:31:16,Southern Owens Valley,LAA at Cottonwood Flow,504.0
2018-10-02 05:31:16,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2018-10-02 05:31:16,Southern Owens Valley,Haiwee LAA #2 Current Flow,270.1
2018-10-02 05:31:16,Southern Owens Valley,Reinhackel Flow,2.2
2018-10-02 05:31:16,Southern Owens Valley,Lubkin Spillgate Outflow,54.2
2018-10-02 05:31:16,Southern Owens Valley,Cartago Spillgate Outflow,93.1
2018-10-02 05:31:16,Lower Owens River Project,LORP Intake Flow,56.0
2018-10-02 05:31:16,Lower Owens River Project,LORP at Mazourka Canyon Road,58.0
2018-10-02 05:31:16,Lower Owens River Project,LORP at Reinhackle Springs,56.0
2018-10-02 05:31:16,Lower Owens River Project,LORP Above Pumpstation,52.0
2018-10-02 05:31:16,Lower Owens River Project,LORP At Pump Station Discharge Flow,48.0
2018-10-02 05:31:16,Long Valley,East Portal Flow,36.0
2018-10-02 05:31:16,Long Valley,OR Below EP Flow,111.0
2018-10-02 05:31:16,Long Valley,Hot Ck.at Hwy. Flow,7.0
2018-10-02 05:31:16,Long Valley,McGee Ck. Lower Sta. Flow,9.2
2018-10-02 05:31:16,Long Valley,Long Valley Current Outflow,527.9
2018-10-02 05:31:16,Long Valley,Rock Ck. Div. Flow,0.0
2018-10-02 05:31:16,Long Valley,Upper Gorge at TRS,13.2
2018-10-02 05:31:16,Mono Basin,Lee Vining Intake Above Flow,35.3
2018-10-02 05:31:16,Mono Basin,Lee Vining Intake Below Flow,29.6
2018-10-02 05:31:16,Mono Basin,Walker Ck. Above Conduit Flow,2.0
2018-10-02 05:31:16,Mono Basin,L.V. Conduit Below Intake Flow,3.4
2018-10-02 05:31:16,Mono Basin,Walker Ck. Under Conduit Flow,3.0
2018-10-02 05:31:16,Mono Basin,Parker Ck. Under Conduit Flow,3.0
2018-10-02 05:31:16,Mono Basin,Parker Ck. Above Conduit Flow,5.0
2018-10-02 05:31:16,Mono Basin,Grant Lk. Spill Flow,0.0
2018-10-02 05:31:16,Mono Basin,Mono Gate 1 Return Ditch Flow,40.4
